geo_loc_name,n,lat,lon,
Japan: Tokyo Bay,2,N 35¡ 25_ 0'',E 139¡ 47_ 12'',1593
"Japan:Hyogo, Harima Bay",4,N 35¡ 2_ 0'',E 134¡ 49_ 0'',1411
Korea,3,,,1485
Malaysia,4,N 2¡ 30_ 0'',E 112¡ 30_ 0'',1415
Mediterranean Sea,5,N 35¡ 0_ 0'',E 20¡ 0_ 0'',1360
Mexico: Cuatro Cienegas,2,N 26¡ 59_ 7'',W 102¡ 3_ 49'',1595
NA,12,,,1157
Norway,9,N 62¡ 0_ 0'',E 10¡ 0_ 0'',1239
Not Collected,3,,,1488
not collected,2,,,1639
NULL,6,,,1318
Pacific Ocean,11,N 3¡ 30_ 48'',W 132¡ 11_ 15'',1190
Pacific Ocean: South Pacific Gyre,1,S 45¡ 0_ 0'',W 130¡ 0_ 0'',1664
Pacific Ocean: South Pacific Ocean,5,S 45¡ 0_ 0'',W 130¡ 0_ 0'',1365
Pacific Ocean:Eastern Tropical North Pacific ODZ,1,,,1665
Peru,2,,,1597
Peru: Oxygen minimum zone,7,,,1286
Portugal: Algarve,1,N 37¡ 5_ 1'',W 8¡ 14_ 56'',1666
Portugal:Praia da Memoria,2,N 41¡ 13_ 53'',W 8¡ 43_ 21'',1599
Puerto Rico: near crystallizers from saltern,2,,,1601
"Russia: Bashkortostan, Ufa",1,N 54¡ 44_ 35'',E 55¡ 58_ 4'',1667
Russia: The Sea of Japan,1,N 43¡ 30_ 0'',E 135¡ 45_ 0'',1668
Russia:Uryupinsk,4,N 50¡ 48_ 21'',E 42¡ 0_ 33'',1419
"Saudi Arabia: Dawhat al-Musallamiya, Jubail",1,N 27¡ 1_ 2'',E 49¡ 37_ 21'',1669
Saudi Arabia: Red Sea,8,N 20¡ 16_ 2'',E 38¡ 32_ 4'',1263
Saudi Arabia: Red Sea coast,2,,,1603
South Korea,27,N 36¡ 30_ 0'',E 127¡ 45_ 0'',978
South Korea: Boryung,2,,,1605
South Korea: East Sea,3,,,1491
South Korea: Gunsan,2,N 35¡ 58_ 43'',E 126¡ 42_ 41'',1607
South Korea: Incheon,4,N 37¡ 27_ 23'',E 126¡ 42_ 18'',1423
South Korea: Oido,1,N 37¡ 20_ 24'',E 126¡ 41_ 34'',1670
"South Korea: South Sea, Boseong area",3,,,1494
South Korea: Suncheon-si,2,N 34¡ 58_ 17'',E 127¡ 27_ 39'',1609
South Korea: Taean beach,1,,,1671
South Korea: Taean coastal area,2,,,1611
South Korea: the southern coast in Korea,4,,,1427
South Korea: Uljin County,1,N 36¡ 55_ 10'',E 129¡ 19_ 10'',1672
South Korea: Wanju,2,N 35¡ 50_ 42'',E 127¡ 8_ 51'',1613
South Korea: Yellow sea,3,N 36¡ 0_ 0'',E 124¡ 0_ 0'',1497
South Korea: Yeongjong-do,3,,,1500
South Korea:East Sea,2,,,1615
"South Korea:Gangwha Island, Incheon",2,,,1617
South Korea:Namhae-gun,4,N 34¡ 48_ 15'',E 127¡ 55_ 37'',1431
South Korea:Taean-gun,4,N 36¡ 42_ 1'',E 126¡ 17_ 2'',1435
Spain,7,,,1293
Spain:Gava,2,N 41¡ 18_ 21'',E 2¡ 0_ 4'',1619
"Spain:Murcia,Rambla Salada",4,N 38¡ 7_ 0'',W 1¡ 7_ 0'',1439
Svalbard:Spitsbergen,2,N 78¡ 3_ 10'',E 17¡ 42_ 35'',1621
Taiwan,4,N 24¡ 0_ 0'',E 121¡ 0_ 0'',1443
"Taiwan: Keelung, National Taiwan Ocean University",2,N 25¡ 8_ 58'',E 121¡ 46_ 25'',1623
Taiwan: Kueishan Island,3,N 24¡ 50_ 31'',E 121¡ 57_ 7'',1503
Turkey,4,,,1447
Turkey:Bandirma,4,N 40¡ 21_ 8'',E 27¡ 58_ 36'',1451
Turkey:Istanbul,2,N 41¡ 0_ 49'',E 28¡ 56_ 58'',1625
United Kingdom: University of Surrey,1,N 51¡ 14_ 33'',W 0¡ 35_ 22'',1673
USA,15,,,1131
"USA: Aiken, SC",2,N 33¡ 33_ 37'',W 81¡ 43_ 10'',1627
USA: Chattahoochee River,3,N 30¡ 42_ 31'',W 84¡ 51_ 49'',1506
USA: GA,2,N 32¡ 45_ 1'',W 83¡ 30_ 0'',1629
"USA: Georgia, Sapelo Island",2,N 31¡ 28_ 38'',W 81¡ 14_ 30'',1631
USA: HI,2,N 20¡ 47_ 16'',W 156¡ 23_ 10'',1633
USA: Massachusetts,11,N 42¡ 21_ 56'',W 71¡ 6_ 29'',1201
"USA: Massachusetts, Nahant, Canoe Beach",5,,,1370
"USA: Massachusetts, Nahant, Canoe Cove",8,,,1271
"USA: Maunalua Bay, Oahu, Hawaii",5,N 21¡ 16_ 20'',W 157¡ 43_ 44'',1375
"USA: Meadowbrook Park, Urbana, IL",2,N 40¡ 4_ 54'',W 88¡ 12_ 20'',1635
USA: New York,6,N 43¡ 0_ 1'',W 75¡ 29_ 59'',1324
"USA: Oak Ridge, TN",4,N 35¡ 57_ 50'',W 84¡ 17_ 37'',1455
USA: Rhode Island,4,N 41¡ 45_ 1'',W 71¡ 29_ 59'',1459
"USA: Rutgers, NJ",6,N 40¡ 29_ 17'',W 74¡ 24_ 38'',1330
USA: San Diego,3,N 32¡ 42_ 56'',W 117¡ 9_ 53'',1509
"USA: Tennessee, Oak Ridge Field Research Center",4,N 35¡ 57_ 50'',W 84¡ 17_ 37'',1463
USA:CA,2,N 37¡ 15_ 0'',W 119¡ 45_ 4'',1637
USA:California,4,N 37¡ 15_ 0'',W 119¡ 45_ 4'',1467
"USA:California, Arroyo Quemado",7,N 34¡ 28_ 12'',W 120¡ 7_ 8'',1300
"USA:California, Camp Pendleton",8,N 33¡ 18_ 4'',W 117¡ 21_ 18'',1279
"USA:California, Channel Islands",24,N 32¡ 49_ 0'',W 118¡ 27_ 3'',1027
"USA:California, Leo Carillo",57,,,923
