mass_feature,retention_time,mz,z,sample_fraction
N-Acetylmuramic acid,7.090588235294118,294.118894,1,Particulate
N-Acetyltaurine,3.610909090909091,166.017406,-1,Dissolved
N-Acetyltaurine,4.4075,166.017406,-1,Particulate
N-Methyltaurine,7.2555555555555555,140.038141,1,Dissolved
N-Methyltaurine,6.717142857142857,140.038141,1,Particulate
"N6,N6,N6-Trimethyl-L-lysine",16.68111111111111,189.160303,1,Dissolved
"N6,N6,N6-Trimethyl-L-lysine",16.362105263157893,189.160303,1,Particulate
N6-Acetyl-L-lysine,9.6638,189.123918,1,Dissolved
N6-Acetyl-L-lysine,9.905,189.123918,1,Particulate
N6-Methyladenine,3.5217391304347827,150.07797,1,Dissolved
N6-Methyladenine,3.42325,150.07797,1,Particulate
NAD,10.982857142857142,662.101304,-1,Dissolved
NAD,11.105555555555556,662.101304,-1,Particulate
NADH,11.03,664.116954,-1,Dissolved
NADH,10.895,664.116954,-1,Particulate
NADP,13.344999999999999,742.067637,-1,Dissolved
NADP,13.618275862068966,742.067637,-1,Particulate
NADPH,13.64125,744.083287,-1,Dissolved
NADPH,14.064761904761905,744.083287,-1,Particulate
O-Acetyl-L-serine,5.9714285714285715,148.060984,1,Dissolved
O-Acetyl-L-serine,5.583333333333333,148.060984,1,Particulate
O-Acetylcarnitine,7.2825,204.123584,1,Dissolved
O-Acetylcarnitine,7.3149999999999995,204.123584,1,Particulate
O-Methylmalonyl-L-carnitine,9.628780487804878,262.129063,1,Dissolved
O-Methylmalonyl-L-carnitine,9.585238095238095,262.129063,1,Particulate
O-Propionylcarnitine,5.694523809523809,218.139234,1,Dissolved
O-Propionylcarnitine,5.7282758620689656,218.139234,1,Particulate
O-Succinylhomoserine,9.90090909090909,220.082112,1,Dissolved
O-Succinylhomoserine,10.204666666666666,220.082112,1,Particulate
Ophthalmic acid,10.52375,290.135212,1,Dissolved
Ophthalmic acid,10.628333333333334,290.135212,1,Particulate
Orotic acid,6.3809756097560975,155.009283,-1,Dissolved
Orotic acid,6.32,155.009283,-1,Particulate
Oxalic acid,13.9068,88.987485,-1,Dissolved
Oxalic acid,13.846829268292684,88.987485,-1,Particulate
Phosphocholine,12.097058823529412,184.073869,1,Dissolved
Phosphocholine,12.142941176470588,184.073869,1,Particulate
Phosphoenolpyruvic acid,13.812,166.974553,-1,Dissolved
Phosphoenolpyruvic acid,14.251470588235295,166.974553,-1,Particulate
Pipecolic acid,8.79191489361702,130.086804,1,Dissolved
Pipecolic acid,9.00972972972973,130.086804,1,Particulate
Proline betaine,6.715416666666667,144.102454,1,Dissolved
Proline betaine,6.763170731707317,144.102454,1,Particulate
Propionylglycine,5.502631578947368,130.050419,-1,Dissolved
Propionylglycine,5.007352941176471,130.050419,-1,Particulate
