time,lat,lon,depth,chla_acs
42893.28153,35.67,-158,5,0.141481621
42893.28083,35.66,-158,5,0.153704218
42893.28014,35.66,-158,5,0.125374414
42893.27944,35.66,-158,5,0.160491512
42893.27875,35.66,-158,5,0.142140848
42893.27042,35.62,-158,5,0.149206062
42893.26972,35.62,-158,5,0.10521705
42893.26903,35.62,-158,5,0.138396091
42893.26833,35.61,-158,5,0.113389273
42893.26764,35.61,-158,5,0.142823871
42893.26625,35.61,-158,5,0.13154496
42893.26556,35.6,-158,5,0.140838459
42893.26486,35.6,-158,5,0.103929381
42893.26417,35.6,-158,5,0.126483206
42893.26347,35.6,-158,5,0.127059534
42893.26278,35.59,-158,5,0.129455824
42893.26208,35.59,-158,5,0.121311812
42893.26139,35.59,-158,5,0.145821145
42893.26069,35.58,-158,5,0.135604225
42893.26,35.58,-158,5,0.114174125
42893.25931,35.58,-158,5,0.128939052
42893.25861,35.58,-158,5,0.121922378
42893.25792,35.57,-158,5,0.162429863
42893.25722,35.57,-158,5,0.11911096
42893.25653,35.57,-158,5,0.106720352
42893.25583,35.57,-158,5,0.13209798
42893.25514,35.56,-158,5,0.124092793
42893.25444,35.56,-158,5,0.126691037
42893.25375,35.56,-158,5,0.120737046
42893.25306,35.56,-158,5,0.137867013
42893.25236,35.56,-158,5,0.131058461
42893.25167,35.56,-158,5,0.109251899
42893.25097,35.56,-158,5,0.115478528
42893.25028,35.56,-158,5,0.125847473
42893.24958,35.57,-158,5,0.112280242
42893.24889,35.57,-158,5,0.107750837
42893.24819,35.57,-158,5,0.124289042
42893.2475,35.57,-158,5,0.13235801
42893.24681,35.58,-158,5,0.131071842
42893.24611,35.58,-158,5,0.136876048
42893.24542,35.58,-158,5,0.104828473
42893.24472,35.58,-158,5,0.138080599
42893.24403,35.59,-158,5,0.135442025
42893.24333,35.59,-158,5,0.107175268
42893.24264,35.59,-158,5,0.125718124
42893.24194,35.6,-158,5,0.114343757
42893.24125,35.6,-158,5,0.134706269
42893.24056,35.6,-158,5,0.124835205
42893.23986,35.6,-158,5,0.11224378
42893.23917,35.61,-158,5,0.113492117
42893.23847,35.61,-158,5,0.101288448
42893.23778,35.61,-158,5,0.146627302
42893.22944,35.64,-158,5,0.133153408
42893.22875,35.65,-158,5,0.173402933
42893.22806,35.65,-158,5,0.166373009
42893.22736,35.65,-158,5,0.177148068
42893.22667,35.66,-158,5,0.179416753
42893.22597,35.66,-158,5,0.155012815
42893.22528,35.66,-158,5,0.179171529
42893.22458,35.66,-158,5,0.179171529
42893.22389,35.67,-158,5,0.149141749
42893.22319,35.67,-158,5,0.149141749
42893.2225,35.67,-158,5,0.187450587
42893.22181,35.67,-158,5,0.189933718
42893.22111,35.68,-158,5,0.178479451
42893.22042,35.68,-158,5,0.154390323
42893.21972,35.68,-158,5,0.165284219
42893.21903,35.69,-158,5,0.165284219
42893.21833,35.69,-158,5,0.146270438
42893.21764,35.69,-158,5,0.162288033
42893.21694,35.69,-158,5,0.156016732
42893.21625,35.7,-158,5,0.156016732
42893.21556,35.7,-158,5,0.168814538
42893.21139,35.72,-158,5,0.175557802
42893.21069,35.72,-158,5,0.148606339
42893.21,35.72,-158,5,0.174536075
42893.20931,35.73,-158,5,0.174391584
42893.20861,35.73,-158,5,0.172989884
42893.20792,35.73,-158,5,0.191330767
42893.20722,35.74,-158,5,0.178276654
42893.20653,35.74,-158,5,0.169519023
42893.20583,35.74,-158,5,0.153572427
42893.20514,35.74,-158,5,0.1715376
42893.20444,35.75,-158,5,0.171802795
42893.20375,35.75,-158,5,0.17576822
42893.20306,35.75,-158,5,0.178514642
42893.20236,35.76,-158,5,0.183514438
42893.20167,35.76,-158,5,0.183514438
42893.20097,35.76,-158,5,0.164062217
42893.20028,35.76,-158,5,0.164062217
42893.19958,35.77,-158,5,0.167832704
42893.19889,35.77,-158,5,0.167832704
42893.19819,35.77,-158,5,0.182084347
42893.1975,35.78,-158,5,0.182084347
42893.19681,35.78,-158,5,0.167793625
42893.19611,35.78,-158,5,0.167793625
42893.18847,35.82,-158,5,0.201467846
42893.18778,35.82,-158,5,0.201467846
42893.18708,35.82,-158,5,0.177868633
42893.18639,35.82,-158,5,0.177868633
42893.1475,35.99,-158,5,0.170723237
42893.14681,35.99,-158,5,0.127248577
42893.14611,35.99,-158,5,0.127248577
42893.14542,36,-158,5,0.117771871
42893.14472,36,-158,5,0.162220473
42893.14403,36,-158,5,0.125009904
42893.14333,36,-158,5,0.125009904
42893.14264,36.01,-158,5,0.150404385
42893.14194,36.01,-158,5,0.098722484
42893.14125,36.01,-158,5,0.151674659
42893.14056,36.02,-158,5,0.15917489
42893.13986,36.02,-158,5,0.170850709
42893.13917,36.02,-158,5,0.129405144
42893.13847,36.02,-158,5,0.136211729
42893.13778,36.03,-158,5,0.153589479
42893.13708,36.03,-158,5,0.117721521
42893.13639,36.03,-158,5,0.162321326
42893.13569,36.04,-158,5,0.109142686
42893.135,36.04,-158,5,0.166792424
42893.13431,36.04,-158,5,0.14660809
42893.13361,36.04,-158,5,0.137793677
42893.13292,36.05,-158,5,0.114576494
42893.13222,36.05,-158,5,0.1660793
42893.13153,36.05,-158,5,0.1660793
42893.13083,36.06,-158,5,0.130213144
42893.13014,36.06,-158,5,0.144975386
42893.12944,36.06,-158,5,0.128297218
42893.12875,36.07,-158,5,0.128297218
42893.12806,36.07,-158,5,0.090923882
42893.12736,36.07,-158,5,0.164600826
42893.12667,36.07,-158,5,0.126321834
42893.12597,36.08,-158,5,0.126321834
42893.12528,36.08,-158,5,0.125217154
42893.12458,36.08,-158,5,0.125217154
42893.12389,36.09,-158,5,0.134646793
42893.12319,36.09,-158,5,0.15616745
42893.1225,36.09,-158,5,0.138339558
42893.12181,36.09,-158,5,0.13480679
42893.12111,36.1,-158,5,0.16828799
42893.12042,36.1,-158,5,0.143665091
42893.11972,36.1,-158,5,0.157597162
42893.11903,36.11,-158,5,0.161792822
42893.11833,36.11,-158,5,0.178013436
42893.11764,36.11,-158,5,0.178013436
42893.11694,36.11,-158,5,0.1270266
42893.11625,36.12,-158,5,0.143735655
42893.11556,36.12,-158,5,0.163352659
42893.11486,36.12,-158,5,0.125754514
42893.10653,36.16,-158,5,0.124765455
42893.10583,36.16,-158,5,0.139793756
42893.10514,36.16,-158,5,0.130699271
42893.10444,36.17,-158,5,0.130699271
42893.10375,36.17,-158,5,0.156704221
42893.10306,36.17,-158,5,0.156704221
42893.10236,36.18,-158,5,0.160713086
42893.10167,36.18,-158,5,0.138375489
42893.10097,36.18,-158,5,0.170777692
42893.10028,36.19,-158,5,0.170777692
42893.09958,36.19,-158,5,0.139863129
42893.09889,36.19,-158,5,0.113075588
42893.09819,36.19,-158,5,0.135930896
42893.0975,36.2,-158,5,0.135930896
42893.09681,36.2,-158,5,0.097278654
42893.09611,36.2,-158,5,0.132355072
42893.09542,36.21,-158,5,0.132355072
42893.09472,36.21,-158,5,0.138419907
42893.09403,36.21,-158,5,0.161201208
42893.09333,36.22,-158,5,0.178084297
42893.09264,36.22,-158,5,0.149181995
42893.09194,36.22,-158,5,0.145446301
42893.09125,36.22,-158,5,0.114554751
42893.09056,36.23,-158,5,0.114554751
42893.08986,36.23,-158,5,0.158885966
42893.08917,36.23,-158,5,0.159643641
42893.08847,36.24,-158,5,0.159643641
42893.08778,36.24,-158,5,0.133769334
42893.08708,36.24,-158,5,0.155350552
42893.08639,36.25,-158,5,0.155350552
42893.08569,36.25,-158,5,0.146344929
42893.085,36.25,-158,5,0.171306319
42893.08431,36.26,-158,5,0.183155827
42893.08361,36.26,-158,5,0.136155209
42893.08292,36.26,-158,5,0.136155209
42893.08222,36.26,-158,5,0.084589523
42893.08153,36.27,-158,5,0.145090765
42893.08083,36.27,-158,5,0.14146284
42893.08014,36.27,-158,5,0.14146284
42893.07944,36.28,-158,5,0.145754991
42893.07875,36.28,-158,5,0.116280336
42893.07806,36.28,-158,5,0.104597812
42893.07736,36.29,-158,5,0.156816236
42893.07667,36.29,-158,5,0.156816236
42893.07597,36.29,-158,5,0.182604519
42893.07528,36.3,-158,5,0.099360636
42893.07458,36.3,-158,5,0.202439256
42893.07389,36.3,-158,5,0.139649118
42893.07319,36.3,-158,5,0.139649118
42893.06556,36.34,-158,5,0.211255311
42893.06486,36.34,-158,5,0.12681294
42893.06417,36.34,-158,5,0.143080566
42893.06347,36.35,-158,5,0.105821238
42893.06278,36.35,-158,5,0.117561361
42893.06208,36.35,-158,5,0.094004324
42893.06139,36.36,-158,5,0.130304752
42893.06069,36.36,-158,5,0.126009705
42893.06,36.36,-157.99,5,0.158832563
42893.05931,36.37,-157.99,5,0.145557102
42893.05861,36.37,-157.99,5,0.145557102
42893.05792,36.37,-157.99,5,0.206502498
42893.05722,36.38,-157.99,5,0.136692695
42893.05653,36.38,-157.99,5,0.147683074
42893.05583,36.38,-157.99,5,0.151046339
42893.05514,36.38,-157.99,5,0.155042503
42893.05444,36.39,-157.99,5,0.176874136
42893.05375,36.39,-157.99,5,0.165883271
42893.05306,36.39,-157.99,5,0.147626319
42893.05236,36.4,-157.99,5,0.209822342
42893.05167,36.4,-157.99,5,0.16754772
42893.05097,36.4,-157.99,5,0.154863949
42893.05028,36.41,-157.99,5,0.116832518
42893.04958,36.41,-157.99,5,0.123128545
42893.04889,36.41,-157.99,5,0.123128545
42893.04819,36.41,-157.99,5,0.134514463
42893.0475,36.42,-157.99,5,0.133193318
42893.04681,36.42,-157.99,5,0.178287525
42893.04611,36.42,-157.99,5,0.118095319
42893.04542,36.43,-157.99,5,0.133163596
42893.04472,36.43,-157.99,5,0.138751753
42893.04403,36.43,-157.99,5,0.120535628
42893.04333,36.43,-157.99,5,0.173978317
42893.04264,36.44,-157.99,5,0.142149858
42893.04194,36.44,-157.99,5,0.187629146
42893.04125,36.44,-157.99,5,0.162105239
42893.04056,36.44,-157.99,5,0.166155611
42893.03986,36.45,-157.99,5,0.141949788
42893.03917,36.45,-157.99,5,0.163849089
42893.03847,36.45,-157.99,5,0.143225901
42893.03778,36.45,-157.99,5,0.118262241
42893.03708,36.46,-157.99,5,0.099019624
42893.03569,36.46,-157.99,5,0.148514009
42893.035,36.47,-157.99,5,0.138495826
42893.03431,36.47,-157.99,5,0.130745452
42893.03292,36.48,-157.99,5,0.083995223
42893.02458,36.51,-157.99,5,0.135052355
42893.02389,36.52,-157.99,5,0.086815884
42893.02319,36.52,-157.99,5,0.161578942
42893.0225,36.52,-157.99,5,0.139621851
42893.02181,36.53,-157.99,5,0.139621851
42893.02111,36.53,-157.99,5,0.17719498
42893.02042,36.53,-157.99,5,0.170737103
42893.01972,36.53,-157.99,5,0.170737103
42893.01903,36.54,-157.99,5,0.1467473
42893.01833,36.54,-157.99,5,0.121322772
42893.01764,36.54,-157.99,5,0.118426401
42893.01694,36.55,-157.99,5,0.118426401
42893.01625,36.55,-157.99,5,0.148281513
42893.01486,36.56,-157.99,5,0.15376918
42893.01417,36.56,-157.99,5,0.108420021
42893.01347,36.56,-157.99,5,0.154000412
42893.01278,36.57,-157.99,5,0.154000412
42893.01208,36.57,-157.99,5,0.151124816
42893.01139,36.57,-157.99,5,0.122502535
42893.01069,36.57,-157.99,5,0.13354786
42893.01,36.58,-158,5,0.111806222
42893.00931,36.58,-158,5,0.127955473
42893.00861,36.58,-158,5,0.127132055
42893.00792,36.59,-158,5,0.127132055
42893.00722,36.59,-158,5,0.087265806
42893.00653,36.59,-158,5,0.137141964
42893.00583,36.6,-158,5,0.137141964
42893.00514,36.6,-158,5,0.161969427
42893.00444,36.6,-158,5,0.161969427
42893.00306,36.61,-158,5,0.101088267
42893.00236,36.61,-158,5,0.141671817
42893.00167,36.62,-158,5,0.086809919
42893.00097,36.62,-158,5,0.086809919
42893.00028,36.62,-158,5,0.119124337
42892.99958,36.62,-158,5,0.154696612
42892.99889,36.63,-158,5,0.105170563
42892.99819,36.63,-158,5,0.105170563
42892.9975,36.63,-158,5,0.114584103
42892.99681,36.64,-158,5,0.097286174
42892.99611,36.64,-158,5,0.131195844
42892.99542,36.64,-158,5,0.102941262
42892.99472,36.65,-158,5,0.102941262
42892.99403,36.65,-158,5,0.132988623
42892.99333,36.65,-158,5,0.101915039
42892.99264,36.66,-158,5,0.111383339
42892.99194,36.66,-158,5,0.121889631
42892.98361,36.69,-158,5,0.10520976
42892.98292,36.7,-158,5,0.117339444
42892.98222,36.7,-158,5,0.110614666
42892.98153,36.7,-158,5,0.135774861
42892.98083,36.71,-158,5,0.117604125
42892.98014,36.71,-158,5,0.141122802
42892.97944,36.71,-158,5,0.115666739
42892.97875,36.72,-158,5,0.115666739
