mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type,samp_name
3229,4.162928104400635,65.013397216796875,544,1796885.375,1300517,342020.7235162258,2019,2H3,230724_Smp_G4_2_C-H_t24_B
6999,0.15923738479614258,212.0719757080078,20,1860939.5,651733,690903.2224131078,1150,2H2,230724_Smp_G4_2_C-H_t24_B
8255,0.06004224345088005,212.07127380371097,8,1049799.125,553431,259820.37297497297,1150,2H2,230724_Smp_G4_2_C-H_t24_B
1568,0.04706829041242599,210.05911254882812,6,2833985.5,2316028,405901.43282211106,1568,NA,230724_Smp_G4_2_C-H_t48_B
1654,0.03200380876660347,212.0720977783203,4,2762676.5,2244719,809071.277635226,1568,2H2,230724_Smp_G4_2_C-H_t48_B
1926,0.03198357671499252,210.058837890625,4,2553514.75,1982675,393098.5880949977,1926,NA,230724_Smp_G4_2_H_t2_B
2099,0.03198357671499252,212.07179260253903,4,2449380,1869737,636860.6307733944,1926,2H2,230724_Smp_G4_2_H_t2_B
1123,16.34968376159668,61.994998931884766,2126,6898051,2744444,980263.3980083466,1123,NA,230724_Smp_G4_2_H_t24_A
1810,0.04518138989806175,210.05926513671875,6,2582942.75,2059881,375382.0341612813,1810,NA,230724_Smp_G4_2_H_t24_A
6635,16.2259521484375,65.01331329345703,2110,1509781.5,740376,425235.7678947449,1123,2H3,230724_Smp_G4_2_H_t24_A
8736,0.04518138989806175,212.0721435546875,6,3284030,561115,885922.8433271488,1810,2H2,230724_Smp_G4_2_H_t24_A
1287,0.04696665704250336,210.0589599609375,6,2852690.5,2358157,393706.11268565897,1287,NA,230724_Smp_G4_2_H_t24_B
2427,14.66108226776123,96.95314025878906,1910,2170191.75,1601578,231501.97365367413,2427,NA,230724_Smp_G4_2_H_t24_B
5618,14.738965034484863,98.9656982421875,1920,1302811.375,808278,305657.2078766823,2427,2H2,230724_Smp_G4_2_H_t24_B
9093,0.04696665704250336,212.07192993164065,6,2462865.75,506778,675937.5313704666,1287,2H2,230724_Smp_G4_2_H_t24_B
1085,0.06026867404580116,210.05877685546875,8,3218106.25,2681647,428073.0660376996,1085,NA,230724_Smp_G4_2_H_t48_B
1583,0.01342727523297071,212.0718688964844,2,2821551.25,2108964,701274.3754851688,1085,2H2,230724_Smp_G4_2_H_t48_B
