replicate_name,treatment,sample_fraction,"AMP, 15N5",Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,"DL-Alanine, 2H3","DL-Proline, 2H7","DL-Valine, 2H8",Deoxyadenosine,"GMP, 15N5",Glutathione disulfide,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,"Sucrose, 13C","Trehalose, 13C",UDP-N-acetylglucosamine,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_2_neg,unknown_C6H9NO3_3_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"DL-Histidine, 15N","Nitrate, 15N"
240108_Smp_M1_T2C,SPO3189 T2,Particulate,47345078.58327893,253090277.10451657,646672935.7787058,16898410.985546555,3340581.4645438027,19947479.6336343,78223358.27448973,235828656,52506395.806092925,5258735.037260064,11392794.274874508,5181624.348295601,7649301.770648738,4293257286.9545727,148345008.80267516,5022490.458761007,653149.8134775964,4310442895.950561,4486267.235277449,19958956.485123847,85317903.83837056,107826448,12923928.260569513,8078869.918672858,77559431.3651837,NA,57639628.83648642,55751470.915627405,1650726.2888364524,10155135.298307506,NA,NA,NA,NA,160611,NA,NA,NA,NA
240108_Smp_M2_T1A,SPO3190 T1,Particulate,58470906.88895238,292761638.61075383,1600114542.3987544,3188578.607634107,3943636.390968245,10014888.81313057,144041238.54410443,257436256,49886569.34681295,18861771.216022536,17089552.856557265,16415176.276934292,13543515.52304368,9921672.426596148,45354010.891759776,1317529.3771009706,534003.7895297947,4475553942.236945,NA,3016228.0854197694,75575604.96490195,103122952,8933384.955045145,2526966.375375193,5889998.233080997,NA,77241840.91219378,75082679.75605924,82198.91070931187,4227578.878915442,NA,5340564.217443678,1840049,NA,1208381,NA,1542809,NA,NA
240108_Smp_M2_T1B,SPO3190 T1,Particulate,48532344.00117711,189849890.70034748,717578886.4405147,3549515.3599703456,7351465.384091957,NA,94137502.9527691,224180112,41298898.356379665,5572778.150396664,12271828.14922215,6062877.070462486,4374895.035532312,12640582.18644132,38287479.49798524,653318.0226050182,286174.7577915458,2667296519.8543653,2026930.2241982603,5225627.390061696,60534791.83338981,75440368,10305480.087254712,1867313.8114431377,2603349.7489466537,NA,62000193.68223192,56703880.61456006,152499.9931984207,5237683.042248826,NA,8029283.904488345,1547251,NA,999964,NA,1468333,NA,NA
240108_Smp_M2_T1C,SPO3190 T1,Particulate,53118440.64125837,505190832.95893025,1911146580.3601792,9287956.651475685,7717537.715124085,10357892.924470495,117106224.69051556,247715392,45339614.261863776,19485337.55018125,15127854.276171356,4895300.038971138,12453584.73603247,43800219.6269909,81460077.24029145,3938622.2290722392,488532.20514124975,5598391113.361781,3404634.2628160603,7311819.3202268,86708640.20079817,99977008,15432460.47128267,5096420.299683613,11164417.004957637,NA,73841648.32068145,69351082.91270573,892106.0875125341,9364858.1413624,NA,8918934.467064155,2103207,NA,1827307,NA,2297847,NA,NA
240108_Smp_M2_T2A,SPO3190 T2,Particulate,50132500.59208306,249176782.68969992,765850700.9436276,11475123.779185168,6532681.775286259,16839861.40483322,84894813.93592001,222167952,48648937.08589476,4652847.1694650985,11995270.43068928,13475545.117685894,6142175.635730057,1991098329.998442,90034288.8608624,3576815.304234667,271640.380946339,5525924899.828934,2974879.146972736,15095549.42992811,116455980.81843293,89412800,17091848.163474236,4406212.827033571,11754123.06704163,NA,59184312.81343317,56283116.16009905,1073601.367359155,8654134.129293067,NA,4515053.316533462,945189,NA,1181847,NA,1158262,NA,NA
240108_Smp_M2_T2B,SPO3190 T2,Particulate,46513222.29461611,184765194.62510535,619049836.5254806,6209745.9059238685,4538535.6024111705,14339819.733563514,91277837.44088292,215133536,52107556.73401103,3024162.904216675,10489331.2476884,7472635.206402534,5798274.741631758,1209031531.0861764,53459876.304739326,2446407.870381973,243410.0251255924,3000739957.9344606,NA,7710731.27059254,66148788.321924195,51376876,9882327.563605191,3219142.5926769204,8656671.858667225,NA,58083532.71000287,47873186.17330409,587226.6950099542,4938549.66325943,NA,2659874.206679463,670204,NA,884348,NA,571024,NA,NA
240108_Smp_M2_T2C,SPO3190 T2,Particulate,47073062.69179769,421261306.8119178,1050386191.1698486,12194433.482655665,6668653.754904191,24228560.333040737,93353882.90004411,233339392,48052131.23229558,6800309.96003263,11903344.304204307,9483988.993645266,8696685.600671802,2383477542.7364345,110645064.79239345,4472230.300716968,675332.6390803051,5914174158.367279,NA,14884396.246087192,117942114.30137028,116497088,16054242.702066464,6372289.826987351,18739686.993586555,NA,53969436.43305245,54193266.14923235,1845516.4505210167,7140392.052208481,NA,3774938.62975803,1130053,NA,1676669,NA,850322,NA,NA
240108_Smp_M3_T1A,SPO3191 T1,Particulate,50001804.06391644,185499683.41376147,795553461.3821887,5025215.53680879,6033783.359242827,13084492.83389216,161755872.1294055,282305984,54082571.69812548,6493955.323284744,12260923.17890341,14981722.076165128,7108102.53049244,202762870.26064223,44047630.52134172,2474316.3951937407,175443.58420562584,3985308535.170803,NA,3906266.863926779,54237649.75607506,82951040,11474270.73947518,2324507.0665292605,5564315.690689851,3606572.2889584214,69846424.52319077,61681745.61920524,569152.8603785669,18371073.089791067,NA,3024598.4207467493,594414,NA,737018,NA,582156,NA,NA
240108_Smp_M3_T1B,SPO3191 T1,Particulate,49271549.94047532,216796228.4324839,817673284.3321756,7109347.6773938425,8479740.107934156,10155595.714495266,77775536.64744693,324234016,57148397.01076645,3032092.6391352727,11797442.800014973,18728156.202206295,5259706.641451982,320449051.99486643,61492529.272622906,2027864.7993109373,399556.5228139793,4953104087.813938,NA,11927713.79638475,77742701.05106308,115171408,11250074.474232703,1941590.950225856,5521489.280077346,6956561.729562717,68001584.79346216,57245890.60359794,1359855.7353977696,18063955.742861312,NA,2813427.2414438324,1538241,2647448,885578,NA,921131,NA,NA
240108_Smp_M3_T1C,SPO3191 T1,Particulate,52051530.92313643,201378024.5901661,460718462.49775434,5071808.2394154435,4728986.036820777,13065823.89252399,101548062.73558648,227918688,51150628.27548266,3623236.1032335106,11465680.62716677,5723457.489450415,4246100.255608126,216624939.92284092,50232744.56943922,1961735.027363076,435156.7384070676,3004837671.174655,1782822.087437286,7310058.715862254,68498445.96730727,65628384,8211419.968778007,2156649.247424424,3733414.409419658,3301427.5575417597,61294822.66022322,56318938.10486003,574723.6261327164,17694500.722968683,NA,2263590.3191693183,417092,NA,284055,NA,434329,NA,NA
