replicate_name,treatment,sample_fraction,timepoint,experiment_id,Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,Deoxyadenosine,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,UDP-N-acetylglucosamine,homarine_13C_15N,n-methyl glutamic acid_13C_15N,n-methyl glutamine,n-methyl glutamine_13C_15N,unknown_C6H11NO2_pos,unknown_C6H9NO3_1_neg_13C_15N,unknown_C6H9NO3_2_neg_13C_15N,unknown_C6H9NO4_pos_13C_15N,unknown_C7H11NO3_pos,unknown_C7H9NO5_pos_13C_15N
230717_Smp_G5_Hom2_T0_C,Homarine,Particulate,0,G52,172310096,158368096,766405,2549413.337783782,58128215.733571336,17876732,1650203.5798509533,954352640,22513915.203868024,3551074.073732502,196854,132002982.24934286,NA,1328602.5799773354,9821719.507975137,66218244,3389492.944151917,2534810.890786434,5095539.405857211,2677041,94854,176231808,2076642,670538.089582115,NA,885831,NA,NA,NA,11833615,NA
230717_Smp_G5_Hom2_T6_A,Homarine,Particulate,6,G52,93734768,64987908,1884523,9233170.738393648,40803127.81180114,7047691,968505.05639953,990476352,33613257.73112413,4094751.25695765,67225,178598356.20165554,NA,2889433.711336592,11403002.776131645,106012384,9360971.1401154,1809785.659004648,5736957.401317704,1924686,138807,1588265216,6016162,363304.6137440723,679746.9144114155,707934,150657.8104311718,NA,NA,10309415,NA
230717_Smp_G5_Hom2_T6_B,Homarine,Particulate,6,G52,125745840,120747176,1890647,7849917.87618815,53678181.35050483,14215322,1822856.0744678408,924247296,28550669.121817585,4035350.931986034,121341,172971142.1516143,2775666,2462447.2784062005,9003786.914750198,114080560,9317410.329471514,1679037.728847744,5978784.729025452,1935521,96917,1302972032,6276165,476714.2852813109,884060.2459341853,1301470,89217.55542651337,NA,NA,11126368,NA
230717_Smp_G5_Hom2_T6_C,Homarine,Particulate,6,G52,137481280,109882552,1138983,4238956.336383374,47988555.00044817,14187110,1755088.174500157,933901888,24160076.31842314,3675559.4123393423,40126,148978536.34682357,1942433,2201934.9144899007,10112462.984312007,78147520,5345444.657029472,1608143.1468186658,5077162.413440877,1540131,NA,1284121088,4761291,290712.6096151589,661596.6799487702,721172,115260.41322830127,NA,NA,10085993,NA
230717_Smp_G5_Hom2_T12_A,Homarine,Particulate,12,G52,120954712,130784184,2224707,6495098.234146606,43878272.21336202,19585140,2272575.7319121105,939065024,42450318.51843949,4718660.436663639,NA,193969713.29214177,4477121,3753955.7472752337,8603546.728163313,135875264,6475343.85304371,2177284.9696831233,7127978.451073347,1642340,NA,2199946496,2690001,448828.7505453625,726783.1280937352,864191,43089.115837809535,NA,NA,11488461,NA
230717_Smp_G5_Hom2_T12_B,Homarine,Particulate,12,G52,147701248,66986620,1425375,4538335.759996131,41432026.11557423,11872711,1320696.738115628,783092608,23374799.41623937,2848930.6882250495,NA,116723272.70778868,2275671,1968666.5684887816,7417069.418038511,114280800,3809285.8512416705,923981.1617182234,4061995.239481482,1333764,NA,974202624,3019026,406746.14524053695,496252.26188465615,993798,72278.60197817482,NA,NA,13869937,NA
230717_Smp_G5_Hom2_T12_C,Homarine,Particulate,12,G52,165886432,144564208,1902480,7619860.354516512,55098628.378869474,27326894,2897488.405361239,938424000,32741892.6177819,3530241.1817377913,63127,206229791.04903933,4105472,3440582.3349062167,8840591.405974682,120591504,5931004.510894435,1396931.36698906,5741253.295609313,1792326,42052,2163184128,6203895,577032.0039376698,817160.7104249278,882185,167082.28579151543,NA,NA,13128370,NA
230717_Smp_G5_Hom2_T24_A,Homarine,Particulate,24,G52,113088864,70956056,1297220,2975856.2407811545,40317344.8009571,15336886,1251159.3617994566,1035738496,21547421.173092708,2941122.9963217177,NA,130130605.33365358,1873909,1441920.4550699764,8920248.65578671,77865104,4005431.1674588113,1145023.554541194,3724818.096686128,1524339,NA,2723382016,7667185,272248.57894227235,906923.3421961048,NA,280922.12122111773,NA,NA,15000792,NA
230717_Smp_G5_Hom2_T24_B,Homarine,Particulate,24,G52,185297152,177545456,1235196,4839745.415730578,70382440.7638484,37309068,3683338.234778957,1216227968,39463106.474831454,4258774.759345257,150828,196157234.4144765,3323287,2826197.1250783796,17266693.539836667,138211104,4842194.969017965,2467519.9587203003,7172062.081992395,2877280,NA,3963985664,20564468,705821.6233560388,2934561.2640379816,1461648,793789.8952306369,394533,130442,17127558,392917.40206573706
230717_Smp_G5_Hom2_T24_C,Homarine,Particulate,24,G52,141967312,63819840,1485017,2408796.1211783616,49043535.32351054,15315955,947417.0705486548,870915264,19380411.243228357,2602499.5955010364,105234,128652429.90624917,NA,1580983.8038485,10010381.406839432,65297888,3087822.1116404934,1086109.8349731597,3120210.7679386116,1077359,NA,2252744192,8668858,546133.5526246811,1506536.069636573,754479,261011.43179167653,NA,NA,4401378,83851.89840498503
230717_Smp_G5_Hom2_T48_A,Homarine,Particulate,48,G52,227156208,115508848,1155080,5178865.634319211,83308372.2913157,17041266,2052513.7640718296,1018527424,29632325.663938064,4046577.760558386,276628,152272570.33332416,3065377,2165830.6860223347,15261132.14053013,98905904,5492124.214774135,1698083.9861330546,6246645.659121813,3809500,53823,2719169536,22118714,1326512.751251331,1568374.002024856,1147436,604228.5825847633,158666,93403,5105622,193533.9523734252
230717_Smp_G5_Hom2_T48_B,Homarine,Particulate,48,G52,47520440,78433448,115820,1288617.9839281314,7150254.307314796,14731365,1569125.3181223797,1231875328,19468496.788601305,2192595.300793157,NA,72338556.60403137,NA,1352298.3419606246,8858796.743989564,60489668,2228445.7101273085,923059.0506216696,2789608.029739937,1955983,NA,1116712064,13435775,1019089.9024782588,2374664.2559742928,904382,436249.3839976906,NA,NA,6001507,NA
230717_Smp_G5_Hom2_T48_C,Homarine,Particulate,48,G52,110512776,83238640,1931734,4458191.931063995,49990652.87552232,10413110,1703776.3770790428,1110661120,36984573.485833846,4808174.891539244,174649,169909434.55437478,3746920,2278161.0545430314,13153952.725097071,103937984,5072342.671439845,1875283.2396366936,6466194.239453956,4434933,83192,3600766720,48113288,696937.866804653,3035276.506775631,755523,1470166.51764263,572793,232980,3901465,487462.0822225386
230717_Smp_G5_Hom2_T96_A,Homarine,Particulate,96,G52,198028320,117359168,2155610,7245715.957023091,49822713.54793804,16348019,3616132.8394061704,968812160,101037268.8656476,10590128.568605945,1347466,403843837.0044088,4769648,8484747.300077181,65309322.802246675,190537952,9173223.681826148,5269694.45911766,31728084.92348759,3590516,206801,668909376,1904589,4435113.987495273,NA,1900172,NA,NA,NA,9531417,NA
230717_Smp_G5_Hom2_T96_B,Homarine,Particulate,96,G52,160010016,96416368,3364630,8633733.0598981,47478403.02493469,7686445,2173937.873404076,719591360,86757506.78685106,8507736.774038142,1463470,409294208.9243254,5444051,6920657.410587631,58714512.803470515,221918800,9638733.39547199,5906135.361008338,17425564.95623772,6308375,260061,516460224,2921130,3901847.565215369,NA,3260240,NA,NA,NA,14125566,NA
230717_Smp_G5_Hom2_T96_C,Homarine,Particulate,96,G52,236762208,290272288,6354439,17132505.57709145,59570522.56813129,27694416,12479995.1818809,1149455104,215623782.96219364,16818155.06636315,2134720,662074082.3766325,5881185,17002293.925318804,88491108.8196383,389174368,20530711.68967194,10555029.540561792,31836142.22767441,4575618,276037,876786752,2632441,5430363.707830987,NA,2323372,NA,NA,NA,20765726,NA
