mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
"AMP, 15N5",L-Tyrosine,Particulate,0.5709899503586787,3.9141602094882715,0.1842031867002024,0.1,0.3470773351422211,0.1
Adenine,Adenosine,Dissolved,112.9915243413202,3.352473834018813,0.5209222827928587,0.7,0.25856364604666227,0.4
Adenine,Adenosine,Particulate,1.347010939788611,0.2787487882895381,0.18088096107053817,0.1,0.5245606382133712,0.4
Adenine,Adenosine monophosphate,Dissolved,54.40136847999853,36.95759228512716,0.3898384481425751,0.1,0.20846457504812826,0.7
Adenine,Adenosine monophosphate,Particulate,0.688239813895163,3.187413018082923,0.02738109132951963,0.1,0.29943537998031056,0.4
Adenine,Citrulline,Dissolved,23.681266182713422,5.9633385813471955,0.46330959380121,1,0.21235839301618545,0.4
Adenine,Citrulline,Particulate,0.5581320828514988,0.42573138068123084,0.2895747888256121,0.7,0.40290224087925314,0.7
Adenine,Cytosine,Dissolved,53.7539933271177,34.72923583128319,0.4058665794059307,0.1,0.22294430683578187,0.4
Adenine,Cytosine,Particulate,0.8232991896769387,2.311762884068527,0.004572611324769583,0.1,0.4219082374302688,0.7
Adenine,Deoxyadenosine,Dissolved,95.97642610073405,5.253608051876295,0.4604480401516181,1,0.2770109759917911,0.4
Adenine,Deoxyadenosine,Particulate,1.1682781597725436,0.47338558296169797,0.21858397575185395,0.2,0.7142253956125745,0.7
Adenine,Guanosine,Dissolved,251.56130154595746,4.17363959820073,0.4843409665962812,1,0.2596588689163503,0.2
Adenine,Guanosine,Particulate,2.7748048034078363,0.3800874161419974,0.18111074141859154,0.1,0.1938437633184822,0.2
Adenine,L-Cysteic acid,Dissolved,166.13639115569362,3.6710442166216866,0.5230328080178566,0.7,0.2955249870410441,0.1
Adenine,L-Cysteic acid,Particulate,2.1771896597532026,0.20493180933999855,4.625696016216154e-4,0.1,0.1558269753486113,0.1
Adenine,L-Glutamic acid,Dissolved,71.25073568708224,32.410421548010895,0.4051339161996756,0.1,0.21520323083023588,0.4
Adenine,L-Glutamic acid,Particulate,1.072899740025257,2.2397567696744107,0.0025002556406495003,0.1,0.6695688305436411,1
Adenine,L-Homoserine,Dissolved,0.5244175375227904,0.16078149908909672,0.22683055217580828,0.6579050194284821,0.45724887401847886,0.3758250874886983
Adenine,L-Homoserine,Particulate,0.007981569717112426,0.011799395781409563,0.1844328375696772,0.7,0.1833815337520697,0.2
Adenine,L-Proline,Dissolved,37.28857193893321,41.57945561143358,0.3932656669567909,0.1,0.23024050033683208,0.7
Adenine,L-Proline,Particulate,0.569744143268975,3.338790180093433,0.1302871799424038,0.1,0.018978316469265125,0.1
Adenine,L-Serine,Dissolved,84.87565285148243,9.704387313146253,0.438871474006578,0.7,0.18833227031078953,0.7
Adenine,L-Serine,Particulate,1.1496018842629274,0.6141567287303206,0.220301519476402,0.1,0.6024278846670961,0.7
Adenine,L-Tyrosine,Dissolved,42.081940404332016,57.96410137964276,0.39554017407942543,0.1,0.2124841008762045,0.4
Adenine,L-Tyrosine,Particulate,0.696930870184455,4.40248328522021,0.08554445164918614,0.1,0.3409603136988736,0.4
Adenosine,Adenine,Dissolved,0.16833093960546078,0.3687691767717377,0.28367621975026786,0.7,0.1927262534671472,0.4
Adenosine,Adenine,Particulate,0.655935906070842,2.8161293032091645,0.01586520081265156,0.1,0.41515917501083727,0.4
