Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,KM1906,MU9,A,4/14/19,06:00:00,35.59,-158,0.19338015301360753,1.2171528680624084,1.4105330210760159,0.8629027820517887
Homarine,KM1906,MU9,B,4/14/19,06:00:00,35.59,-158,0.2346954384438273,1.4694046544165076,1.704100092860335,0.8622760250837785
Homarine,KM1906,MU9,C,4/14/19,06:00:00,35.59,-158,0.2280065892167425,1.5340233442543656,1.762029933471108,0.8706000477712764
Homarine,KM1906,MU10,A,4/14/19,18:20:00,36.57,-158,0.26236458252287465,3.8971183006866896,4.159482883209565,0.9369237499252725
Homarine,KM1906,MU10,B,4/14/19,18:20:00,36.57,-158,0.3020537991000549,3.944987581707244,4.247041380807299,0.9288790072860936
Homarine,KM1906,MU10,C,4/14/19,18:20:00,36.57,-158,0.1827999424168388,5.74177858367267,5.924578526089509,0.9691454942133251
Homarine,KM1906,MU11,A,4/15/19,05:30:00,38.58,-158,0.3703530567283758,2.7269648664405204,3.0973179231688963,0.8804278198379247
Homarine,KM1906,MU11,B,4/15/19,05:30:00,38.58,-158,0.5082481414963341,3.7960212036849663,4.3042693451813,0.8819199959999423
Homarine,KM1906,MU11,C,4/15/19,05:30:00,38.58,-158,0.3743294381937994,3.2601432058800843,3.6344726440738837,0.8970058451797251
Homarine,KM1906,MU14,A,4/23/19,12:00:00,37.38,-158,0.3572081372983309,1.793000113473636,2.150208250771967,0.8338727715466229
Homarine,KM1906,MU14,B,4/23/19,12:00:00,37.38,-158,0.4473300706269234,1.4517380874959325,1.899068158122856,0.764447595672875
Homarine,KM1906,MU14,C,4/23/19,12:00:00,37.38,-158,0.43113816064674915,2.163882272734257,2.595020433381006,0.8338594351316815
Homarine,KM1906,MU15,A,4/23/19,18:25:00,38.45,-158,0.16107111694341988,2.2257873836976496,2.3868585006410696,0.9325175259027048
