mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
Deoxyadenosine,Particulate,G51,96,0.1718931127008239,4.634891199932467,0.5419489679611648,core
Deoxyadenosine,Particulate,G52,0,0.5178031448401137,1.101448344097429,0.6615279721151263,core
Deoxyadenosine,Particulate,G52,6,0.2704596681827217,0.6234583563268082,0.5697150832159729,core
Deoxyadenosine,Particulate,G52,12,0.3685422436531334,1.0623421010152245,0.5937078921732292,core
Deoxyadenosine,Particulate,G52,24,0.3440407700372815,1.3692930207314493,0.5867487769976939,core
Deoxyadenosine,Particulate,G52,48,0.5483093347961866,1.3553909932138355,0.6627048075234486,core
Deoxyadenosine,Particulate,G52,96,0.10766622872082435,0.3473776901378942,0.49350727706033537,core
Guanosine,Particulate,G51,0,0.36851275175709186,1.7936167573689197,0.5937078921732292,non-core
Guanosine,Particulate,G51,6,0.8282666280238634,1.1289641223757838,0.8282666280238634,non-core
Guanosine,Particulate,G51,12,0.7855799061539965,1.0525392319099307,0.7926572026058343,non-core
Guanosine,Particulate,G51,24,0.5161882498933764,1.457009912507438,0.6615279721151263,non-core
Guanosine,Particulate,G51,48,0.7258902357924975,1.3466751489133129,0.7527750593403677,non-core
Guanosine,Particulate,G51,96,0.05540379798400103,4.23724770585396,0.4089353797583421,non-core
Guanosine,Particulate,G52,0,0.5438161905531004,1.1679479441452185,0.6627048075234486,non-core
Guanosine,Particulate,G52,6,0.3964576594385296,0.691445178243889,0.5937078921732292,non-core
Guanosine,Particulate,G52,12,0.4435092396741974,0.9579682845035509,0.6177576881214787,non-core
Guanosine,Particulate,G52,24,0.5049046672047943,0.9116587552824793,0.6524921853108112,non-core
Guanosine,Particulate,G52,48,0.5095144451346,1.365853061669761,0.6559266420123586,non-core
Guanosine,Particulate,G52,96,0.35400918258155856,1.000726087182835,0.5888469571653647,non-core
Homarine,Particulate,G51,0,0.1675803250784044,1.4061435712740054,0.5419489679611648,non-core
Homarine,Particulate,G51,6,0.4881864656132084,0.8597606637074071,0.6405697255524548,non-core
Homarine,Particulate,G51,12,0.7013898655051084,1.1434245651129469,0.7377087579078603,non-core
Homarine,Particulate,G51,24,0.42533559647006997,0.8940938989853833,0.5979613406441151,non-core
Homarine,Particulate,G51,48,0.3728470023198833,0.8152502615783003,0.5937078921732292,non-core
