mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Adenine,L-Tyrosine,Particulate,G52,96,0.3665308260005342,0.005070976335646784,0.1
Adenosine,Adenine,Particulate,G51,0,1.2854483887749346,0.5191306743669502,1
Adenosine,Adenine,Particulate,G51,6,2.3266205040325025,0.14299601316817,0.2
Adenosine,Adenine,Particulate,G51,12,1.220682425605895,0.5380539498414841,0.4
Adenosine,Adenine,Particulate,G51,24,0.9405582133638437,0.878887181986693,1
Adenosine,Adenine,Particulate,G51,48,1.1932638685698012,0.5980996432638195,0.4
Adenosine,Adenine,Particulate,G51,96,3.071442643150914,0.008525678540761859,0.1
Adenosine,Adenine,Particulate,G52,0,0.8550499826485121,0.26236886317998875,0.4
Adenosine,Adenine,Particulate,G52,6,0.804683920588648,0.18714103735122603,0.2
Adenosine,Adenine,Particulate,G52,12,0.7894088642752402,0.37923522845922236,0.4
Adenosine,Adenine,Particulate,G52,24,0.6676583973636169,0.14171808347238155,0.2
Adenosine,Adenine,Particulate,G52,48,0.9553982742823744,0.910027266498031,0.7
Adenosine,Adenine,Particulate,G52,96,0.7943141352434139,0.43564063294422584,0.7
Adenosine,Citrulline,Particulate,G51,0,2.455168617521784,0.181239685475104,0.2
Adenosine,Citrulline,Particulate,G51,6,1.0325886137470872,0.9651310406883957,0.7
Adenosine,Citrulline,Particulate,G51,12,0.8779059932583716,0.8705330637001312,1
Adenosine,Citrulline,Particulate,G51,24,1.348672496398765,0.6716938014388875,1
Adenosine,Citrulline,Particulate,G51,48,0.8114920795477516,0.7950713449568506,0.7
Adenosine,Citrulline,Particulate,G51,96,5.208093690648497,0.05844104693033946,0.1
Adenosine,Citrulline,Particulate,G52,0,1.157463522714074,0.6939240116800082,1
Adenosine,Citrulline,Particulate,G52,6,0.37350488087937567,0.18761619861641468,0.2
Adenosine,Citrulline,Particulate,G52,12,0.4161957544114345,0.21600353298790212,0.4
Adenosine,Citrulline,Particulate,G52,24,0.6723602378522369,0.4257895010014161,0.7
Adenosine,Citrulline,Particulate,G52,48,0.7868462832997377,0.6628645583810139,1
Adenosine,Citrulline,Particulate,G52,96,0.34232696273078184,0.18115104824502068,0.1
Adenosine,Cytosine,Particulate,G51,0,1.2568053035377014,0.4884774993707991,0.7
Adenosine,Cytosine,Particulate,G51,6,2.2998666656248576,0.05102718007507163,0.1
Adenosine,Cytosine,Particulate,G51,12,1.2142490533931747,0.530715236811027,0.7
Adenosine,Cytosine,Particulate,G51,24,0.8728599046513968,0.7180161206462288,0.4
Adenosine,Cytosine,Particulate,G51,48,1.0009572686757644,0.9977074481468486,1
Adenosine,Cytosine,Particulate,G51,96,3.582083890643716,0.016164982451879185,0.1
Adenosine,Cytosine,Particulate,G52,0,0.5703460484800694,0.06919413379390572,0.1
Adenosine,Cytosine,Particulate,G52,6,0.5329104912557648,0.06035581068901334,0.1
Adenosine,Cytosine,Particulate,G52,12,0.6275683467071684,0.10363516520112256,0.2
Adenosine,Cytosine,Particulate,G52,24,0.4852732385729657,0.0433652902186258,0.1
Adenosine,Cytosine,Particulate,G52,48,1.218519505753855,0.8163363616819626,0.7
Adenosine,Cytosine,Particulate,G52,96,0.8046760686618226,0.5206376704076411,0.7
Adenosine,Deoxyadenosine,Particulate,G51,0,1.0189583746148714,0.9494906542777262,1
Adenosine,Deoxyadenosine,Particulate,G51,6,0.8583592944855728,0.5967811421731538,1
Adenosine,Deoxyadenosine,Particulate,G51,12,0.6646389742803496,0.2705012562765169,0.2
Adenosine,Deoxyadenosine,Particulate,G51,24,0.5672936429395171,0.18785595572606933,0.2
Adenosine,Deoxyadenosine,Particulate,G51,48,0.8655290816603677,0.6690320465232489,1
Adenosine,Deoxyadenosine,Particulate,G51,96,0.8253687388207106,0.6606651674986984,0.4
Adenosine,Deoxyadenosine,Particulate,G52,0,0.9085111249052853,0.3773120675678661,0.4
Adenosine,Deoxyadenosine,Particulate,G52,6,0.9061082720799231,0.36094061189353605,0.7
Adenosine,Deoxyadenosine,Particulate,G52,12,0.6267160748443027,0.020745116281295644,0.1
Adenosine,Deoxyadenosine,Particulate,G52,24,0.48230373041598235,0.016203215058372158,0.1
Adenosine,Deoxyadenosine,Particulate,G52,48,0.7151931470504489,0.06428333473616991,0.1
Adenosine,Deoxyadenosine,Particulate,G52,96,1.074912142092657,0.7120437544277477,1
Adenosine,L-Arginine,Particulate,G51,0,1.9071293724139835,0.1764454152693879,0.2
Adenosine,L-Arginine,Particulate,G51,6,1.3288584725505987,0.5879630397424203,0.7
Adenosine,L-Arginine,Particulate,G51,12,0.8490725370919686,0.720411480780823,1
Adenosine,L-Arginine,Particulate,G51,24,1.0336915071147985,0.9427309251350336,1
Adenosine,L-Arginine,Particulate,G51,48,0.6116481708160082,0.3865955643999844,0.7
Adenosine,L-Arginine,Particulate,G51,96,0.8906897345060116,0.7852066476846692,0.7
Adenosine,L-Arginine,Particulate,G52,0,0.8804862522861646,0.6721220122792699,0.7
Adenosine,L-Arginine,Particulate,G52,6,0.5805823280572041,0.17800925754103894,0.4
Adenosine,L-Arginine,Particulate,G52,12,0.5616741116884004,0.15949286615505462,0.2
Adenosine,L-Arginine,Particulate,G52,24,0.6008726082155006,0.1882102218355075,0.2
Adenosine,L-Arginine,Particulate,G52,48,0.5516748423704793,0.15203415513505836,0.1
Adenosine,L-Arginine,Particulate,G52,96,0.1961742938097703,0.06073513314473887,0.1
Adenosine,L-Glutamic acid,Particulate,G51,0,1.4457168565985399,0.3751715584000567,0.4
Adenosine,L-Glutamic acid,Particulate,G51,6,1.2185119206760078,0.6744972159655831,1
Adenosine,L-Glutamic acid,Particulate,G51,12,1.0772080060795883,0.8081649253204939,1
Adenosine,L-Glutamic acid,Particulate,G51,24,1.2314335692353677,0.5628117062762177,0.7
Adenosine,L-Glutamic acid,Particulate,G51,48,1.3403233028207362,0.3386788799858159,0.4
Adenosine,L-Glutamic acid,Particulate,G51,96,2.820032181477809,0.03867647700235759,0.1
Adenosine,L-Glutamic acid,Particulate,G52,0,1.064785275648922,0.7331539760917787,0.7
Adenosine,L-Glutamic acid,Particulate,G52,6,0.6660563596646274,0.11476967261405639,0.1
Adenosine,L-Glutamic acid,Particulate,G52,12,0.7214282173655616,0.010842385866694688,0.1
Adenosine,L-Glutamic acid,Particulate,G52,24,0.720436607243535,0.18241594609648734,0.2
Adenosine,L-Glutamic acid,Particulate,G52,48,0.8634066553115846,0.5516123588346007,0.7
Adenosine,L-Glutamic acid,Particulate,G52,96,0.35702645764430685,0.002380322359138148,0.1
Adenosine,L-Lysine,Particulate,G51,0,2.529413709531211,0.21347284673608308,0.2
Adenosine,L-Lysine,Particulate,G51,6,1.3101125932243063,0.6258089885432011,0.7
Adenosine,L-Lysine,Particulate,G51,12,0.9044849719576842,0.8425871573882139,1
Adenosine,L-Lysine,Particulate,G51,24,1.174682776828733,0.7718426574876653,0.7
Adenosine,L-Lysine,Particulate,G51,48,0.6513729211648863,0.46791581345571265,0.7
Adenosine,L-Lysine,Particulate,G51,96,1.1771522296456192,0.6923001656963184,0.7
Adenosine,L-Lysine,Particulate,G52,0,0.9262816270831294,0.7646496045127342,1
Adenosine,L-Lysine,Particulate,G52,6,0.4187554383741192,0.043091868883174775,0.1
Adenosine,L-Lysine,Particulate,G52,12,0.38238386938468444,0.05394998733851539,0.1
Adenosine,L-Lysine,Particulate,G52,24,0.5255504621560558,0.07515065119956324,0.1
Adenosine,L-Lysine,Particulate,G52,48,0.5099361502214009,0.07006251092820133,0.1
Adenosine,L-Lysine,Particulate,G52,96,0.15461877791138862,0.03147040683825058,0.1
Adenosine,L-Proline,Particulate,G51,0,2.0284600915780144,0.19552280757774396,0.2
Adenosine,L-Proline,Particulate,G51,6,1.321940253981228,0.63412437173075,0.7
Adenosine,L-Proline,Particulate,G51,12,0.8450642480565205,0.8008097380872656,0.7
Adenosine,L-Proline,Particulate,G51,24,1.206588928744407,0.7697748736133772,1
Adenosine,L-Proline,Particulate,G51,48,0.6083893345176473,0.5375264040887138,1
Adenosine,L-Proline,Particulate,G51,96,2.963818305051004,0.088610945089857,0.2
Adenosine,L-Proline,Particulate,G52,0,1.0193974211315768,0.9105087235792076,1
Adenosine,L-Proline,Particulate,G52,6,0.5397904829325635,0.04549443521818895,0.1
Adenosine,L-Proline,Particulate,G52,12,0.4818976635632786,0.020846572215246155,0.1
Adenosine,L-Proline,Particulate,G52,24,0.5565721595841318,0.02994923120057831,0.1
Adenosine,L-Proline,Particulate,G52,48,0.5727309632732747,0.03311511043067103,0.1
Adenosine,L-Proline,Particulate,G52,96,0.3150587264045099,0.010929884621173438,0.1
Adenosine,L-Serine,Particulate,G51,0,3.0559032506538744,0.09441977589962061,0.2
Adenosine,L-Serine,Particulate,G51,6,0.9301864662275765,0.9297873575323248,0.7
Adenosine,L-Serine,Particulate,G51,12,0.8705155947035738,0.8764062824728736,1
Adenosine,L-Serine,Particulate,G51,24,1.0355355257596406,0.9665037360264488,1
Adenosine,L-Serine,Particulate,G51,48,0.5731209902327185,0.6063275198252035,1
Adenosine,L-Serine,Particulate,G51,96,4.1968070375745,0.025442001630378255,0.1
Adenosine,L-Serine,Particulate,G52,0,1.2478250537006532,0.535505271399593,1
Adenosine,L-Serine,Particulate,G52,6,0.5149729544978071,0.18550596228560506,0.2
Adenosine,L-Serine,Particulate,G52,12,0.7911654592882525,0.4942859151333655,0.7
Adenosine,L-Serine,Particulate,G52,24,0.955273015549813,0.9003398563605309,1
Adenosine,L-Serine,Particulate,G52,48,0.9245842642170684,0.8302394771135704,1
Adenosine,L-Serine,Particulate,G52,96,0.4701312862186794,0.16274362266055767,0.2
Adenosine,L-Tyrosine,Particulate,G51,0,1.7281642231269037,0.2864264849777951,0.4
Adenosine,L-Tyrosine,Particulate,G51,6,1.604950059020714,0.3918585708410564,0.4
Adenosine,L-Tyrosine,Particulate,G51,12,1.2020246978680595,0.7396569315006795,0.7
Adenosine,L-Tyrosine,Particulate,G51,24,1.571810911722826,0.44504989045882215,0.4
Adenosine,L-Tyrosine,Particulate,G51,48,0.8902972657408064,0.8516880267346478,0.7
Adenosine,L-Tyrosine,Particulate,G51,96,1.6424567001969164,0.32938993063998073,0.7
Adenosine,L-Tyrosine,Particulate,G52,0,1.0337640691069299,0.8989307173166096,0.7
Adenosine,L-Tyrosine,Particulate,G52,6,0.8498372523697875,0.4392857246717667,1
Adenosine,L-Tyrosine,Particulate,G52,12,0.9593721974841188,0.7890203451565155,0.7
Adenosine,L-Tyrosine,Particulate,G52,24,1.0271369145539484,0.7981810852002098,1
Adenosine,L-Tyrosine,Particulate,G52,48,0.9507655078601844,0.841661414886027,0.7
Adenosine,L-Tyrosine,Particulate,G52,96,0.2933095379467848,0.0024840730218863303,0.1
Adenosine monophosphate,Adenine,Particulate,G51,0,1.3310383084684099,0.5261778396200519,0.7
Adenosine monophosphate,Adenine,Particulate,G51,6,2.056132772891434,0.2821818802353441,0.4
Adenosine monophosphate,Adenine,Particulate,G51,12,1.0534060903515636,0.9230957229418046,1
Adenosine monophosphate,Adenine,Particulate,G51,24,0.6420235896335863,0.4981638238843131,0.4
Adenosine monophosphate,Adenine,Particulate,G51,48,2.124844881367879,0.08636014047241264,0.1
Adenosine monophosphate,Adenine,Particulate,G51,96,1.0253934593585106,0.9824586645681688,0.7
Adenosine monophosphate,Adenine,Particulate,G52,0,0.8460258659561151,0.47776592036946663,0.4
Adenosine monophosphate,Adenine,Particulate,G52,6,1.6634606916278387,0.2303300504645218,0.4
Adenosine monophosphate,Adenine,Particulate,G52,12,1.5135634360237609,0.23060377802444465,0.2
Adenosine monophosphate,Adenine,Particulate,G52,24,1.0954568668032376,0.6485400561043373,0.7
Adenosine monophosphate,Adenine,Particulate,G52,48,0.9577392548752144,0.9444070995233137,0.7
Adenosine monophosphate,Adenine,Particulate,G52,96,2.2505831873623108,0.14139367494948907,0.1
Adenosine monophosphate,Adenosine,Particulate,G51,0,1.1913656679805056,0.7805721624323392,0.7
Adenosine monophosphate,Adenosine,Particulate,G51,6,1.1051273910700616,0.8978958521713564,1
Adenosine monophosphate,Adenosine,Particulate,G51,12,0.8083297033266814,0.7364746987952385,1
Adenosine monophosphate,Adenosine,Particulate,G51,24,0.7623699106297047,0.7117728567079539,0.7
Adenosine monophosphate,Adenosine,Particulate,G51,48,1.8381487239773115,0.2276086727248202,0.2
Adenosine monophosphate,Adenosine,Particulate,G51,96,0.33600515253168656,0.31715540196898595,0.4
Adenosine monophosphate,Adenosine,Particulate,G52,0,0.9756128723508984,0.9310980339555064,1
Adenosine monophosphate,Adenosine,Particulate,G52,6,2.0849054908024067,0.222978959410399,0.2
Adenosine monophosphate,Adenosine,Particulate,G52,12,1.9495422372059696,0.04940949800826682,0.1
Adenosine monophosphate,Adenosine,Particulate,G52,24,1.8380945074216533,0.2628114057282107,0.4
Adenosine monophosphate,Adenosine,Particulate,G52,48,1.3142589738580759,0.7075154105494008,1
Adenosine monophosphate,Adenosine,Particulate,G52,96,2.8478506374464176,0.07478952590140675,0.1
