mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,sample_set,retention_time,mz,timepoint,experiment_id
Cytosine,240926_Smp_RC104_HomFate_T6_A_posDDA,57734380,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,6,NA
Cytosine,240926_Smp_RC104_HomFate_T6_B_posDDA,26608962,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,6,NA
Cytosine,240926_Smp_RC104_HomFate_T6_C_posDDA,41510296,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,6,NA
Cytosine,240926_Smp_RC104_HomFate_T12_A_posDDA,32997486,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,12,NA
Cytosine,240926_Smp_RC104_HomFate_T12_B_posDDA,51795176,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,12,NA
Cytosine,240926_Smp_RC104_HomFate_T12_C_posDDA,82841712,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,12,NA
Cytosine,240926_Smp_RC104_HomFate_T24_A_posDDA,118419792,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,24,NA
Cytosine,240926_Smp_RC104_HomFate_T24_B_posDDA,50175928,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,24,NA
Cytosine,240926_Smp_RC104_HomFate_T24_C_posDDA,251967664,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,24,NA
Cytosine,240926_Smp_RC104_HomFate_T48_A_posDDA,225712880,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,48,NA
Cytosine,240926_Smp_RC104_HomFate_T48_B_posDDA,126251832,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,48,NA
Cytosine,240926_Smp_RC104_HomFate_T48_C_posDDA,267473248,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,48,NA
Cytosine,240926_Smp_RC104_HomFate_T96_A_posDDA,92899440,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,96,NA
Cytosine,240926_Smp_RC104_HomFate_T96_B_posDDA,136378864,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,96,NA
Cytosine,240926_Smp_RC104_HomFate_T96_C_posDDA,148913600,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,96,NA
