mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
Adenosine diphosphate,211202_Smp_OBi1_1,1264633,Particulate,-1,OBi1_set2,Glucose + NH4,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,1264633,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_2,3328658,Particulate,-1,OBi1_set2,Glucose + NH4,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,3328658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_3,1228335,Particulate,-1,OBi1_set2,Glucose + NH4,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,1228335,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_5,2770472,Particulate,-1,OBi1_set2,Homarine,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,5161910.517335882,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_6,3223078,Particulate,-1,OBi1_set2,Homarine,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,6005200.639600004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_7,1010396,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,1159098.1006833918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_8,2929693,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,3360862.069807707,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine diphosphate,211202_Smp_OBi1_9,5066863,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,12.52939393939394,426.021596,targeted,NA,NA,NA,NA,NA,5812563.865774361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Adenosine monophosphate,211202_Smp_OBi1_1,1593471,Particulate,-1,OBi1_set2,Glucose + NH4,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,1593471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_2,6425140,Particulate,-1,OBi1_set2,Glucose + NH4,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,6425140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_3,2018471,Particulate,-1,OBi1_set2,Glucose + NH4,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,2018471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_5,5433902,Particulate,-1,OBi1_set2,Homarine,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,10124381.651925191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
