mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,z,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id,plot_label
Ectoine,Particulate,0.10322070320556362,0.00797168077447644,1.3164003716728154,2.188482220339529,8.228424952717302e-4,0.22794114698343831,0.154329781504304,0.006624532252892644,1,OBi1_set2,targeted,9.47658536585366,143.082053,NA,NA,26,Ectoine
Fumaric acid,Particulate,0.02650758026292122,0.020871133378574734,6.0230773430596685,4.589059758899692,5.532432432107039e-4,0.13182258129548236,0.21103034860558897,0.006100297269117027,-1,OBi1_set2,targeted,12.688,115.00262,NA,[M-H]-,370,Fumaric acid
Glucosamine,Particulate,0.01420000815684882,0.03915779410123952,11.576308597356089,3.915997531975301,5.560409956418078e-4,0.10327030601972022,0.29694660526773303,0.006100297269117027,1,OBi1_set2,targeted,10.47974358974359,180.087199,NA,NA,28,Glucosamine
Glutamylphenylalanine,Particulate,0.02689438990705417,0.23937316732737024,0.01684924816533594,0.6671664848768571,0.006437795295388815,0.13182258129548236,0.5716489131641864,0.023911811097158456,1,OBi1_set2,targeted,8.658846153846154,295.129398,NA,NA,29,Glutamylphenylalanine
Glutathione,Particulate,0.6858770242570001,0.739453998273326,1.7397860869849613,1.442996963482047,0.5071745079106498,0.6896664000816245,0.7560709420547491,0.5099765770151286,1,OBi1_set2,targeted,11.47222222222222,308.091634,NA,NA,30,Glutathione
Glutathione disulfide,Particulate,0.41622902732410827,0.14566571355021185,5.037643313156745,5.944154900118098,0.060630298265476855,0.4983794932433402,0.5715321805908565,0.09595403725492858,1,OBi1_set2,targeted,14.114,613.16034,NA,NA,351,Glutathione disulfide
Glycerophosphoric acid,Particulate,0.309849677696384,0.4022198328461853,0.8186718614677859,0.8352633686636421,0.12462768557048395,0.4240048221108413,0.583886091636921,0.16201599124162913,-1,OBi1_set2,targeted,11.953888888888889,171.005853,NA,NA,33,Glycerophosphoric acid
Glycine,Particulate,0.36655602542174825,0.18213662897950372,1.4596140690213448,0.724698362801189,0.0667632788024425,0.4632860876858207,0.5715321805908565,0.10385398924824389,1,OBi1_set2,targeted,11.424615384615384,76.039854,NA,NA,34,Glycine
Gonyol,Particulate,0.21214829173108646,0.0032984038604120048,1.1335550132775571,0.07864560083104503,6.997507444256278e-4,0.3328533542677391,0.154329781504304,0.006367731774273212,1,OBi1_set2,targeted,10.69441176470588,179.074191,NA,NA,35,Gonyol
Guanine,Particulate,0.4417119065692028,0.7158263402258165,1.0403696239513986,1.0177952394965213,0.31618901751360023,0.5120481974241714,0.7444593938348492,0.3300113273133517,1,OBi1_set2,targeted,8.437,152.05685,50.33822:5836 50.3927:6928 50.80593:7000 51.18322:6336 52.7933:6311 56.84669:7307 61.6211:6772 65.94895:6372 67.10377:6666 88.67827:7343 92.15593:6974 109.05116:22894 110.03532:105221 112.20486:7642 116.13816:7959 120.37099:7002 123.26909:7287 123.30002:6988 128.04572:75724 134.04594:13951 135.03026:78680 145.38148:7220 152.05673:1135290,[M+H],162,Guanine
Guanosine,Particulate,0.4408904587021729,0.4997791695790479,0.9861593146958564,0.888572802786174,0.2203478673254975,0.5120481974241714,0.5848016012927253,0.24908889349838845,1,OBi1_set2,targeted,9.191,284.09869,50.37682:6460 59.04293:8232 69.97108:7160 72.63605:6482 73.17964:7433 92.14252:7325 93.41595:7435 100.51979:7383 110.0351:7928 114.33366:7082 131.31171:7262 135.0304:17377 137.37094:7966 143.50398:6908 152.05673:958870 153.04065:64773 213.39429:7570 216.93044:48665 216.94403:50685 251.28726:8188 277.19287:8701,[M+H],279,Guanosine
Guanosine monophosphate,Particulate,0.4594861486085804,0.33257568898571577,1.9213684370026856,4.378121403686476,0.1528139224528916,0.5194191245140474,0.583886091636921,0.19049406771524846,-1,OBi1_set2,targeted,13.346,362.050178,NA,NA,38,Guanosine monophosphate
