mass_feature,z,sample_fraction,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id
HILICPos_95,1,Particulate,OBi1_set2,nontargeted,10.263,142.0975,NA,NA,143
HILICPos_96,1,Particulate,OBi1_set2,nontargeted,9.536,142.63747,NA,NA,144
HILICPos_97,1,Particulate,OBi1_set2,nontargeted,9.612,142.9214,NA,NA,145
HILICPos_98,1,Particulate,OBi1_set2,nontargeted,9.556,142.95486,NA,NA,146
HILICPos_105,1,Particulate,OBi1_set2,nontargeted,9.491,143.16971,NA,NA,147
HILICPos_106,1,Particulate,OBi1_set2,nontargeted,9.433,143.2063,NA,NA,148
HILICPos_107,1,Particulate,OBi1_set2,nontargeted,9.485,143.52701,NA,NA,149
HILICPos_109,1,Particulate,OBi1_set2,nontargeted,10.694,145.04965,NA,[M+H],150
HILICPos_110,1,Particulate,OBi1_set2,nontargeted,10.33,146.0811,NA,NA,151
HILICPos_111,1,Particulate,OBi1_set2,nontargeted,11.358,146.09261,NA,NA,152
HILICPos_115,1,Particulate,OBi1_set2,nontargeted,11.501,147.5939,NA,NA,155
HILICPos_116,1,Particulate,OBi1_set2,nontargeted,11.458,147.92912,NA,NA,156
HILICPos_120,1,Particulate,OBi1_set2,nontargeted,6.499,148.09671,NA,NA,158
HILICPos_121,1,Particulate,OBi1_set2,nontargeted,11.417,148.52934,NA,NA,159
HILICPos_123,1,Particulate,OBi1_set2,nontargeted,10.854,151.04782,NA,[M+H],160
HILICPos_125,1,Particulate,OBi1_set2,nontargeted,7.648,152.05673,NA,NA,161
HILICPos_127,1,Particulate,OBi1_set2,nontargeted,3.637,154.09763,NA,NA,163
HILICPos_130,1,Particulate,OBi1_set2,nontargeted,9.159,157.04184,65.26609:8600 71.24049:7707 74.93156:15292 94.71522:7247 113.02641:17376 113.10773:41646 115.96471:8539 119.35658:7608 131.03683:10847 138.97018:8144 139.01846:42038 157.02924:121045 157.04198:1688099,NA,165
HILICPos_131,1,Particulate,OBi1_set2,nontargeted,8.251,157.09724,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],166
HILICPos_132,1,Particulate,OBi1_set2,nontargeted,16.856,158.08141,NA,NA,167
HILICPos_133,1,Particulate,OBi1_set2,nontargeted,10.947,158.55629,NA,NA,168
HILICPos_134,1,Particulate,OBi1_set2,nontargeted,11.189,158.92982,NA,NA,169
HILICPos_135,1,Particulate,OBi1_set2,nontargeted,11.069,158.97083,NA,NA,170
HILICPos_142,1,Particulate,OBi1_set2,nontargeted,11.037,159.17976,NA,NA,171
HILICPos_143,1,Particulate,OBi1_set2,nontargeted,11.125,159.22408,NA,NA,172
HILICPos_144,1,Particulate,OBi1_set2,nontargeted,11.095,159.59868,NA,NA,173
HILICPos_146,1,Particulate,OBi1_set2,nontargeted,10.826,161.09207,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,174
HILICPos_148,1,Particulate,OBi1_set2,nontargeted,9.295,161.09213,56.05025:2097216 58.02952:115371 60.04514:91725 68.05024:15555 69.03416:26565 72.04507:46879 73.07672:109788 74.02431:33286 74.06077:59334 84.04497:6898463 84.24619:9007 85.02619:10208 85.02901:196335 87.04461:19573 95.01318:23830 97.07651:161160 98.06049:503142 101.07137:435268 102.04969:11045 102.05538:505872 115.08688:1152421 116.0709:521184 116.0756:18824 119.08176:48886 122.60285:11162 125.61523:10211 126.05505:38599 130.05:914620 143.08148:58731 144.06555:3829216 150.44739:11469 157.41405:10932,[M+H],175
HILICPos_149,1,Particulate,OBi1_set2,nontargeted,5.934,161.09233,NA,NA,176
HILICPos_150,1,Particulate,OBi1_set2,nontargeted,17.038,161.12862,NA,NA,177
HILICPos_151,1,Particulate,OBi1_set2,nontargeted,9.86,161.54308,NA,NA,178
HILICPos_152,1,Particulate,OBi1_set2,nontargeted,9.84,161.92474,NA,NA,179
HILICPos_153,1,Particulate,OBi1_set2,nontargeted,9.853,162.07591,52.65947:7318 54.24166:7841 56.25982:6371 59.03201:6282 60.64181:7084 68.05021:12687 70.06583:154785 72.47549:7261 74.23991:7246 85.02896:98206 98.06051:3361624 116.07092:981399 131.03403:21880 138.99281:41025 144.06558:338156 161.98769:7374 162.07613:101648,[M+H],180
HILICPos_154,1,Particulate,OBi1_set2,nontargeted,11.607,162.07639,NA,NA,181
HILICPos_155,1,Particulate,OBi1_set2,nontargeted,9.796,162.22943,NA,NA,182
HILICPos_156,1,Particulate,OBi1_set2,nontargeted,9.769,162.61125,NA,NA,183
HILICPos_157,1,Particulate,OBi1_set2,nontargeted,12.099,162.99792,NA,NA,184
HILICPos_163,1,Particulate,OBi1_set2,nontargeted,8.532,166.07231,NA,NA,185
HILICPos_164,1,Particulate,OBi1_set2,nontargeted,4.58,166.08621,60.58156:7315 64.53271:7221 86.689:6808 93.0705:20134 94.01263:6404 103.05464:82665 107.04951:23743 109.96803:6787 120.08109:1194235 131.04947:21213 140.44695:6783,[M+H],186
HILICPos_165,1,Particulate,OBi1_set2,nontargeted,11.264,166.08629,NA,NA,187
HILICPos_166,1,Particulate,OBi1_set2,nontargeted,2.928,167.09283,NA,NA,188
HILICPos_168,1,Particulate,OBi1_set2,nontargeted,11.425,170.04239,NA,[M+H],189
HILICPos_170,1,Particulate,OBi1_set2,nontargeted,11.387,171.0764,53.20921:6460 66.06043:8050 72.04514:18236 72.6198:7269 84.04498:431779 89.07152:39887 89.22683:6608 95.08259:6298 102.16595:8508 106.6652:6786 124.04416:7928 125.10743:78681 125.74647:6856 130.05002:636126 153.07393:12262 160.2683:7362 168.53079:7499 171.11285:301874,NA,190
HILICPos_172,1,Particulate,OBi1_set2,nontargeted,10.743,173.09206,NA,NA,191
HILICPos_173,1,Particulate,OBi1_set2,nontargeted,9.967,173.09221,NA,NA,192
HILICPos_174,1,Particulate,OBi1_set2,nontargeted,8.336,174.03868,NA,NA,193
HILICPos_175,1,Particulate,OBi1_set2,nontargeted,10.559,174.08766,NA,NA,194
HILICPos_176,1,Particulate,OBi1_set2,nontargeted,7.676,175.10779,55.98551:7853 55.98695:8306 56.05023:10446 58.02951:36430 58.10687:7033 61.60739:7591 64.9507:7725 68.05022:9366 68.86811:6765 69.03434:13884 70.06581:105422 74.35268:9353 80.05009:7426 83.26295:8236 85.0291:55718 87.04457:10000 88.97835:7066 95.01346:9867 98.06052:3124182 99.16063:8762 105.95736:7156 107.01143:7892 111.09229:8603 115.60281:7729 116.06656:15926 116.07092:224823 124.06165:8878 126.05526:15887 129.10242:128531 142.54263:7748 144.0656:1993023 157.09727:26870,NA,195
HILICPos_177,1,Particulate,OBi1_set2,nontargeted,11.398,175.10808,NA,NA,196
HILICPos_180,1,Particulate,OBi1_set2,nontargeted,11.733,178.00879,NA,[M+H],199
HILICPos_181,1,Particulate,OBi1_set2,nontargeted,12.193,180.0867,NA,NA,200
HILICPos_186,1,Particulate,OBi1_set2,nontargeted,6.43,182.10379,NA,NA,202
HILICPos_189,1,Particulate,OBi1_set2,nontargeted,10.913,185.03253,NA,[M+H],203
HILICPos_190,1,Particulate,OBi1_set2,nontargeted,9.836,185.09238,NA,NA,204
HILICPos_192,1,Particulate,OBi1_set2,nontargeted,11.847,188.05562,NA,[M+H],205
HILICPos_193,1,Particulate,OBi1_set2,nontargeted,7.467,188.07089,NA,[M+H],206
HILICPos_195,1,Particulate,OBi1_set2,nontargeted,12.161,190.993,NA,NA,207
HILICPos_197,1,Particulate,OBi1_set2,nontargeted,4.01,191.04855,NA,[M+H],208
HILICPos_198,1,Particulate,OBi1_set2,nontargeted,13.621,191.10287,NA,[M+H],209
HILICPos_201,1,Particulate,OBi1_set2,nontargeted,5.726,196.10835,51.75809:6642 59.06119:25476 59.25867:6581 66.60036:6495 66.62492:7300 71.80388:6038 73.35178:6079 97.35278:6635 98.68143:6891 115.34962:7046 135.4922:8134 138.05508:452908 180.142:8817,NA,210
HILICPos_204,1,Particulate,OBi1_set2,nontargeted,5.763,197.11166,NA,NA,211
HILICPos_205,1,Particulate,OBi1_set2,nontargeted,8.414,197.11467,NA,NA,212
HILICPos_208,1,Particulate,OBi1_set2,nontargeted,13.204,199.03293,NA,NA,213
HILICPos_210,1,Particulate,OBi1_set2,nontargeted,11.616,202.07143,NA,[M+H],214
HILICPos_211,1,Particulate,OBi1_set2,nontargeted,10.453,203.05293,NA,NA,215
HILICPos_212,1,Particulate,OBi1_set2,nontargeted,9.816,203.1028,NA,NA,216
HILICPos_213,1,Particulate,OBi1_set2,nontargeted,9.959,204.08675,NA,NA,217
HILICPos_214,1,Particulate,OBi1_set2,nontargeted,11.726,204.08679,NA,NA,218
HILICPos_215,1,Particulate,OBi1_set2,nontargeted,10.695,204.08694,NA,NA,219
HILICPos_216,1,Particulate,OBi1_set2,nontargeted,15.787,204.13463,NA,[M+H],220
HILICPos_217,1,Particulate,OBi1_set2,nontargeted,11.892,205.08243,NA,NA,221
HILICPos_219,1,Particulate,OBi1_set2,nontargeted,10.702,205.1295,NA,NA,222
HILICPos_221,1,Particulate,OBi1_set2,nontargeted,9.107,206.10271,NA,NA,223
HILICPos_223,1,Particulate,OBi1_set2,nontargeted,11.747,212.02252,NA,NA,224
HILICPos_226,1,Particulate,OBi1_set2,nontargeted,11.27,216.06335,51.45436:6985 53.59893:6032 62.06085:154214 62.98753:8127 63.89124:7075 68.48779:6294 72.22716:6674 85.27873:6367 96.01912:6285 99.47187:7084 120.86324:6839 136.23228:7290 142.99648:28534 160.0231:48185 171.96649:6981 173.02112:29357 173.62935:6840 195.88644:7543 198.05299:86614 209.03888:8132 216.06343:98963 216.08612:20121,[M+H],225
HILICPos_227,1,Particulate,OBi1_set2,nontargeted,11.063,217.12962,NA,NA,226
HILICPos_228,1,Particulate,OBi1_set2,nontargeted,12.932,219.00569,NA,[M+H],227
HILICPos_229,1,Particulate,OBi1_set2,nontargeted,10.515,219.04788,NA,NA,228
HILICPos_230,1,Particulate,OBi1_set2,nontargeted,11.438,219.09801,NA,[M+H],229
HILICPos_231,1,Particulate,OBi1_set2,nontargeted,9.606,219.13409,NA,NA,230
HILICPos_233,1,Particulate,OBi1_set2,nontargeted,9.443,220.12927,NA,NA,231
