mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
5-Hydroxyectoine,Adenine,Particulate,1.1709216442804258,0.611158216597837,0.4121194201481937,0.7,0.6921101150807645,0.7
5-Hydroxyectoine,Adenosine,Dissolved,1.844412798976482,3.2316861656946707,0.09760494685937415,0.1,0.2654643859524451,0.2
5-Hydroxyectoine,Adenosine,Particulate,1.0891089606680122,0.6915230008100975,0.24859057217667618,0.4,0.6834023247336795,0.4
5-Hydroxyectoine,Adenosine monophosphate,Dissolved,0.722127311587466,34.83277945196255,0.4288779424259387,1,0.6415363398690022,0.7
5-Hydroxyectoine,Adenosine monophosphate,Particulate,0.5885525983635324,6.849640668606355,0.4776704403146474,0.7,0.49612763962360173,0.4
5-Hydroxyectoine,Citrulline,Dissolved,1.9645464147633618,29.57258263912921,0.015066505035507652,0.1,0.23132200263035585,0.1
5-Hydroxyectoine,Citrulline,Particulate,1.1643080757922506,6.210016434241021,0.009100511645657939,0.1,0.08398765450041364,0.1
5-Hydroxyectoine,Cytosine,Dissolved,1.3803918621849998,2.2333121793355635,0.05076389400824736,0.1,0.3425417919676174,0.7
5-Hydroxyectoine,Cytosine,Particulate,0.841137742431506,0.47129432442210495,0.02716930664792072,0.1,0.4023438148536174,0.4
5-Hydroxyectoine,Deoxyadenosine,Dissolved,1.5343685509166916,2.8699316866820817,0.07249184944756001,0.1,0.37944712005264547,0.4
5-Hydroxyectoine,Deoxyadenosine,Particulate,0.8957161891634493,0.6151662960773281,0.07891517039733474,0.1,0.27710383171817415,0.4
5-Hydroxyectoine,Guanosine,Dissolved,1.804306740749495,3.1940658202151697,0.16488200254292434,0.1,0.37654511199066903,0.4
5-Hydroxyectoine,Guanosine,Particulate,1.005810711452001,0.6857340948418228,0.316920566285279,0.4,0.9767067111276078,1
5-Hydroxyectoine,L-Arginine,Dissolved,1.6059356835016294,4.738939811892531,0.004921692618235815,0.1,0.31153697477567305,0.1
5-Hydroxyectoine,L-Arginine,Particulate,0.9558469910211246,1.0036226653992324,0.964658124294204,1,0.4917157985038133,1
5-Hydroxyectoine,L-Glutamic acid,Dissolved,0.37380226568631125,1.2015279718439285,0.3220647094462042,0.7,0.012861057760205545,0.1
5-Hydroxyectoine,L-Glutamic acid,Particulate,0.22357173093933422,0.25697636950670166,4.1885106277702173e-4,0.1,7.209779763201318e-5,0.1
5-Hydroxyectoine,L-Homoserine,Dissolved,0.363273046518341,0.8030737315979697,0.07532608210390462,0.1,0.018647409627361545,0.1
5-Hydroxyectoine,L-Homoserine,Particulate,0.2159310772154875,0.16999974096524625,0.0019323630531001964,0.1,0.0031490281593152696,0.1
5-Hydroxyectoine,L-Lysine,Dissolved,1.6431912143245995,2.558753254928134,0.023674121805783474,0.1,0.3199368761559877,0.2
5-Hydroxyectoine,L-Lysine,Particulate,0.9688170910448554,0.5437939309186098,0.010310695373759924,0.1,0.7220607025136787,1
5-Hydroxyectoine,L-Proline,Dissolved,1.3538092772706,4.623561690664616,0.0045413116808480924,0.1,0.4223864213601792,1
5-Hydroxyectoine,L-Proline,Particulate,0.8165055996157697,0.9780126614405256,0.8240273372417548,1,0.12591184727422058,0.1
5-Hydroxyectoine,L-Serine,Dissolved,1.7753030376434762,3.7536017229343153,2.2994141056963493e-4,0.1,0.25600475012986185,0.2
5-Hydroxyectoine,L-Serine,Particulate,1.0570653945661452,0.7958917458687979,0.2601948306529762,0.1,0.7169451827948498,0.7
5-Hydroxyectoine,L-Tyrosine,Dissolved,1.2606214671814955,1.5449529926795176,0.005060331074601357,0.1,0.5018594583441425,1
5-Hydroxyectoine,L-Tyrosine,Particulate,0.7609152527632026,0.32827465281438406,4.6617594118363004e-5,0.1,0.020212240342779176,0.1
5-Oxoproline,Adenine,Particulate,1.496814417379283,0.7197523573274696,0.56532930875607,0.7,0.4694754732865225,1
5-Oxoproline,Adenosine,Particulate,1.383214303176039,0.8705155727074623,0.5817831608599551,0.7,0.23605653622343503,0.4
5-Oxoproline,Adenosine monophosphate,Particulate,0.6064568956675889,9.210940837288511,0.46235385446188143,0.7,0.530930308058184,0.4
5-Oxoproline,Citrulline,Particulate,1.4164469044172547,7.895546527629219,0.03016449403687147,0.1,0.04460346954573991,0.1
5-Oxoproline,Cytosine,Particulate,1.017653031781631,0.5731038946217422,0.15943520560203917,0.1,0.9496435891901268,1
5-Oxoproline,Deoxyadenosine,Particulate,1.111336515653198,0.7576758249434848,0.18524435264249886,0.2,0.43501988005197284,0.7
5-Oxoproline,Guanosine,Particulate,1.287154487488778,0.8599338420765362,0.6547649135756749,0.7,0.32438251226424353,0.7
5-Oxoproline,L-Arginine,Particulate,1.173816778980538,1.2654055608816412,0.08984200694784301,0.2,0.13700237851717814,0.2
