mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,core_metabolite
HILICNeg_394,Particulate,0.026928422152141654,0.43349475286568673,0.01243957561625186,0.8268409928343117,0.01167332970590553,0.09776877687103308,0.6116464582683339,0.027251858802600774,non-core
HILICNeg_395,Particulate,0.4710311730137138,0.7056377954634852,1.0843622818339125,0.8584179804736277,0.33237739851997644,0.5035434256964785,0.745354248408328,0.3415650664465449,non-core
HILICNeg_396,Particulate,0.00678013915587807,0.3033828142029621,0,1.2100254194478963,0.002056977697797985,0.09445051726811608,0.5845668859032684,0.008552696743475832,non-core
HILICNeg_397,Particulate,0.008835342297794879,0.5304605806489504,0.010415826230201375,1.0009878424363579,0.004686800805520503,0.09445051726811608,0.6430129781115966,0.01451989269161254,non-core
HILICNeg_398,Particulate,0.014402756466781814,0.3441414132791548,0.00857418739898892,1.137121650237917,0.004956584965593779,0.09445051726811608,0.602765879086233,0.015133148300750089,non-core
HILICNeg_40,Dissolved,0.07284135389705064,0.13891399344247551,486.09182923507115,7.228035871547116,0.01011868335759593,0.15417077920727917,0.4324952680331369,0.024883299151753416,non-core
HILICNeg_40,Particulate,0.01479019011733683,0.002231715439724331,1469.192509451514,84.04384594543104,3.300749564131882e-5,0.09445051726811608,0.1119903253001749,0.0015117290447392753,non-core
HILICNeg_400,Particulate,0.02539479862733139,0.6856650840875391,0,0.9204537065461353,0.0174123267361953,0.09776877687103308,0.7376449406316498,0.037117426277902196,non-core
HILICNeg_401,Particulate,0.0200245159935983,NA,Inf,NA,NA,0.09599687235402066,NA,NA,non-core
HILICNeg_403,Particulate,0.05872068546355576,0.03075000163224112,3.207753363043059,4.181432135227799,0.001805661173850657,0.1365847445764026,0.16818808510129027,0.00801505522954528,non-core
HILICNeg_408,Particulate,0.09459704937849964,0.038061025421268685,3.065016960941609,0.54511412969871,0.0036004607011720837,0.1791032656357659,0.19533385547609425,0.011913566299166267,non-core
HILICNeg_409,Particulate,0.024091489400024455,0.5059114350422067,11.055819867280633,1.0663783734616301,0.012188159974670484,0.09776877687103308,0.6284504267436711,0.028112836145955274,non-core
HILICNeg_410,Particulate,0.0392719500375964,0.03466294179958994,12.006268423162869,2.355746162279438,0.0013612813185096078,0.11492022246024752,0.18101271558958193,0.006517649949227819,non-core
HILICNeg_411,Particulate,0.0045488894162692365,0.012635759425136004,0,0.5095174614349103,5.7478672315525423e-5,0.09445051726811608,0.11919104412964113,0.0015794139523222638,non-core
HILICNeg_412,Particulate,0.03542201163605742,0.0119456243726325,42.50142573512068,5.759839848744264,4.231380455273595e-4,0.10994860339926991,0.11919104412964113,0.0034337273233506853,non-core
HILICNeg_415,Particulate,0.6182571124236482,0.29763219451427597,0.9269589846396485,0.5211070804017489,0.18401322114470986,0.6301657566436865,0.5839756626559923,0.20916610748823136,non-core
HILICNeg_416,Particulate,0.6142378619215532,0.6856132022599906,1.241980292128099,0.9284873910433931,0.421129587461366,0.6280854143642292,0.7376449406316498,0.4265286847365117,non-core
HILICNeg_417,Particulate,0.02514291913423399,0.6998839222646224,7.282341501417168,1.0892619275865139,0.01759712486084991,0.09776877687103308,0.744657641197376,0.037117426277902196,non-core
HILICNeg_419,Particulate,0.013719050687465874,0.014740891990958054,14.96033332449604,4.61487608853885,2.022310444024133e-4,0.09445051726811608,0.1218780426686781,0.0024578850011985616,non-core
HILICNeg_421,Particulate,0.18908984888682945,0.030831102631720737,10.232406672432615,3.3668956228052815,0.005829848537646404,0.27227223139033263,0.16818808510129027,0.016901212274277648,non-core
HILICNeg_422,Particulate,0.405760735488673,0.5027379260821139,1.039660355196443,0.8759577092238774,0.20399131064512863,0.46258180796284976,0.6284504267436711,0.22657734328246273,non-core
HILICNeg_424,Particulate,0.05748205941011779,0.5134546674820744,6.683127631139023,1.2163666313857997,0.029514431700606872,0.13518928787194368,0.6292975138956001,0.05161052468979533,non-core
HILICNeg_425,Particulate,0.013276953884032938,0.006885570411651624,17301.805032327302,1023.3477968563368,9.14194008207603e-5,0.09445051726811608,0.1119903253001749,0.0017508200399612276,non-core
HILICNeg_43,Particulate,0.09775649649926389,0.2947917288765427,2.0620350038511703,0.7948755404588695,0.028817806611931698,0.18365495644092475,0.5839756626559923,0.05094697588702086,non-core
HILICNeg_44,Dissolved,0.1952158190393084,0.5690049602811068,6.130778212543318,1.0340027766993907,0.1110787693587054,0.27851700906032895,0.6659465461067768,0.14096743420622854,non-core
HILICNeg_45,Dissolved,0.37748154414913515,0.9105260052205855,2.9969429263612675,0.9029991192946211,0.3437067624386101,0.4414213077516407,0.9148687365650396,0.3514929997754071,non-core
HILICNeg_45,Particulate,0.027253710939287933,0.01832020569798578,2600.6493177102266,193.36589319857092,4.992935904412001e-4,0.09776877687103308,0.126488581708794,0.0038482140141321763,non-core
HILICNeg_53,Dissolved,0.21926207051901273,0.8026344932937253,7.981598336214093,0.7707861872269439,0.17598730086956083,0.30333641564177144,0.818169354454249,0.20154294609694598,non-core
HILICNeg_53,Particulate,0.0032027757029274365,0.17443265305340688,0.15739366966996676,0.8731838867507151,5.586686629966229e-4,0.09445051726811608,0.4752959540645766,0.004012256761521201,non-core
HILICNeg_54,Dissolved,0.2504557996110892,0.7513220239376628,8.331263004600228,0.8638198365857568,0.18817295827072925,0.33145154596194026,0.7733477510237832,0.21272663217919333,non-core
HILICNeg_55,Dissolved,0.7220520500192,0.4470590767520001,1.0912625450690006,0.5012848605521264,0.32279992284847253,0.7243334151061486,0.6116464582683339,0.33280514068553774,non-core
HILICNeg_55,Particulate,0.007713351672188812,0.054167181475785586,0.22584404761698978,0.7058565600340452,4.178105198140056e-4,0.09445051726811608,0.24987393828922239,0.0034337273233506853,non-core
HILICNeg_56,Dissolved,0.39895812376695466,0.34414971851927123,8.977623534690487,1.3061589666239786,0.13730132599537404,0.45894639237684093,0.602765879086233,0.16719544899629363,non-core
HILICNeg_57,Dissolved,0.3553742756330708,0.8126577023174135,6.8988381420013365,0.8227349006970919,0.2887976422986865,0.42533629108231086,0.8270526052570135,0.30281391594709683,non-core
HILICNeg_57,Particulate,0.07867054043452107,0.04644465866243505,0.48321711550824054,0.37227764452988976,0.003653826397270626,0.16062956005119253,0.23052543902441153,0.011964861570336972,non-core
HILICNeg_58,Dissolved,0.3755853035672475,0.6248839078078752,1.9658628038544004,0.5783076181943235,0.2346972122083087,0.44084411786543837,0.6965196291615117,0.2522595886320597,non-core
