mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Cytosine,L-Proline,Particulate,NA,0,0.4452396489091275,0.11808314515225458,0.1
Cytosine,L-Proline,Particulate,NA,6,0.4103970979054251,0.10516582982931673,0.1
Cytosine,L-Proline,Particulate,NA,12,0.6293910240857356,0.25360991096909097,0.2
Cytosine,L-Proline,Particulate,NA,24,0.9446053772029682,0.8694818008520249,0.7
Cytosine,L-Proline,Particulate,NA,48,1.3286356695895807,0.5406187995260128,1
Cytosine,L-Proline,Particulate,NA,96,0.3432484755660994,0.08683231051569004,0.1
Cytosine,L-Serine,Particulate,NA,0,0.3225569396877472,0.09113910764336747,0.1
Cytosine,L-Serine,Particulate,NA,6,0.10658812418420384,0.061879566124257025,0.1
Cytosine,L-Serine,Particulate,NA,12,0.5227949805432516,0.17912033596728585,0.2
Cytosine,L-Serine,Particulate,NA,24,0.8535643552791577,0.641473822732033,0.7
Cytosine,L-Serine,Particulate,NA,48,0.6939318870772629,0.36919889507860676,0.4
Cytosine,L-Serine,Particulate,NA,96,0.32368982182044004,0.10232090933102159,0.1
Cytosine,L-Tyrosine,Particulate,NA,0,0.5143194538135657,0.1908084911206698,0.4
Cytosine,L-Tyrosine,Particulate,NA,6,0.6023556053437655,0.2514412601492773,0.4
Cytosine,L-Tyrosine,Particulate,NA,12,1.0434763822237685,0.9182677350799862,1
Cytosine,L-Tyrosine,Particulate,NA,24,1.0917290500540509,0.7723630675888544,1
Cytosine,L-Tyrosine,Particulate,NA,48,1.1756381023373996,0.7792181701875203,1
Cytosine,L-Tyrosine,Particulate,NA,96,0.7724511614914431,0.46766333480752403,0.7
Deoxyadenosine,Adenine,Particulate,NA,0,0.43563039268146053,0.05815669104409267,0.1
Deoxyadenosine,Adenine,Particulate,NA,6,0.4432424668853825,0.04652300119791317,0.1
Deoxyadenosine,Adenine,Particulate,NA,12,0.6863024427294128,0.16597349932701191,0.2
Deoxyadenosine,Adenine,Particulate,NA,24,1.6356502129704575,0.3082137510662769,0.4
Deoxyadenosine,Adenine,Particulate,NA,48,1.4452327940724634,0.2300107906067208,0.2
Deoxyadenosine,Adenine,Particulate,NA,96,0.6671619997072371,0.36288933828845343,0.4
Deoxyadenosine,Citrulline,Particulate,NA,0,0.30257057340368443,0.13395256618622647,0.1
Deoxyadenosine,Citrulline,Particulate,NA,6,0.03105393287421514,0.08504548523947177,0.1
Deoxyadenosine,Citrulline,Particulate,NA,12,0.23582986453447283,0.1252087456929681,0.1
Deoxyadenosine,Citrulline,Particulate,NA,24,1.4758447699015749,0.5669681574290297,1
Deoxyadenosine,Citrulline,Particulate,NA,48,1.6012707752544257,0.40887198774485545,0.4
Deoxyadenosine,Citrulline,Particulate,NA,96,1.45155957364323,0.5398980028861838,1
Deoxyadenosine,Cytosine,Particulate,NA,0,0.6958706120804576,0.39599196870897313,0.4
Deoxyadenosine,Cytosine,Particulate,NA,6,0.18456222102155745,0.043169201605369883,0.1
Deoxyadenosine,Cytosine,Particulate,NA,12,0.5301634250405066,0.1420991683408952,0.2
Deoxyadenosine,Cytosine,Particulate,NA,24,1.421991602259002,0.5121625489907699,0.7
Deoxyadenosine,Cytosine,Particulate,NA,48,1.6587114532440104,0.34385045387751384,0.7
Deoxyadenosine,Cytosine,Particulate,NA,96,1.9099688413417846,0.10942298145756137,0.2
Deoxyadenosine,Guanosine,Particulate,NA,0,0.7706367569368925,0.5566248306072499,1
Deoxyadenosine,Guanosine,Particulate,NA,6,0.15972288928162323,0.08127094257440573,0.1
Deoxyadenosine,Guanosine,Particulate,NA,12,0.38862864333056907,0.14350938798152976,0.1
Deoxyadenosine,Guanosine,Particulate,NA,24,0.6686956721454265,0.3757180134614639,0.7
Deoxyadenosine,Guanosine,Particulate,NA,48,1.3244427498697169,0.6021456295641128,0.7
Deoxyadenosine,Guanosine,Particulate,NA,96,1.0975409279729178,0.7500337576169571,0.7
Deoxyadenosine,L-Arginine,Particulate,NA,0,0.38947630575048814,0.11359456432415377,0.1
Deoxyadenosine,L-Arginine,Particulate,NA,6,0.0847626022113363,0.06077359769689661,0.1
Deoxyadenosine,L-Arginine,Particulate,NA,12,0.24007795636218604,0.08272069180114998,0.1
Deoxyadenosine,L-Arginine,Particulate,NA,24,0.712870835531728,0.45158297005354475,0.7
Deoxyadenosine,L-Arginine,Particulate,NA,48,1.1070743780222219,0.7228137008754516,1
Deoxyadenosine,L-Arginine,Particulate,NA,96,0.6951564612498027,0.3494577943616191,0.4
Deoxyadenosine,L-Glutamic acid,Particulate,NA,0,0.39397936798549643,0.14995230299034304,0.1
Deoxyadenosine,L-Glutamic acid,Particulate,NA,6,0.13537741936007186,0.083607308907815,0.1
Deoxyadenosine,L-Glutamic acid,Particulate,NA,12,0.31730941833310794,0.13031237978920546,0.1
Deoxyadenosine,L-Glutamic acid,Particulate,NA,24,1.309252954838361,0.6647944975591119,1
Deoxyadenosine,L-Glutamic acid,Particulate,NA,48,1.9909860442313463,0.20207210754624919,0.2
Deoxyadenosine,L-Glutamic acid,Particulate,NA,96,0.7554631192963374,0.49844640588650685,0.7
Deoxyadenosine,L-Lysine,Particulate,NA,0,0.38872069088853073,0.20441592355436602,0.2
Deoxyadenosine,L-Lysine,Particulate,NA,6,0.07456426407600564,0.10924007009747429,0.1
Deoxyadenosine,L-Lysine,Particulate,NA,12,0.2896625914228213,0.16927960961798916,0.1
Deoxyadenosine,L-Lysine,Particulate,NA,24,0.9507117604928037,0.916536743709671,1
Deoxyadenosine,L-Lysine,Particulate,NA,48,1.2286934270434775,0.6059470064207177,0.4
Deoxyadenosine,L-Lysine,Particulate,NA,96,0.8131757953785186,0.6446795754914849,1
Deoxyadenosine,L-Proline,Particulate,NA,0,0.3200865069454756,0.181322487219652,0.2
Deoxyadenosine,L-Proline,Particulate,NA,6,0.08166493466902909,0.11625753623958515,0.1
