mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
Cytosine,Particulate,NA,48,0.819395061190353,1.0281485056123096,0.829162949443905,core
Cytosine,Particulate,NA,96,0.10248704505013068,0.38606908941461027,0.3523869352721393,core
Deoxyadenosine,Particulate,NA,0,0.1771858597735988,0.38909849831950943,0.4275431362295414,non-core
Deoxyadenosine,Particulate,NA,6,0.08432639707364338,0.10453318490416565,0.3152007382959972,non-core
Deoxyadenosine,Particulate,NA,12,0.15474144365427084,0.30498393411525293,0.4275431362295414,non-core
Deoxyadenosine,Particulate,NA,24,0.5395653532098998,1.3656222785486816,0.6233487931493252,non-core
Deoxyadenosine,Particulate,NA,48,0.3763612208111846,1.472286506506539,0.5250477111110318,non-core
Deoxyadenosine,Particulate,NA,96,0.45274542032386733,0.7843194573374279,0.5500513712519349,non-core
Guanosine,Particulate,NA,0,0.04910109289042242,0.5515114125362154,0.2909263140789584,core
Guanosine,Particulate,NA,6,0.034350968123352504,0.493115932993985,0.2909263140789584,core
Guanosine,Particulate,NA,12,0.2623449799430515,0.8167385790573644,0.4486288605432832,core
Guanosine,Particulate,NA,24,0.3397369017478596,2.03634221191979,0.5013192302353237,core
Guanosine,Particulate,NA,48,0.6169625475130592,1.303151588126613,0.6727722906960734,core
Guanosine,Particulate,NA,96,0.19053361230749663,0.6854748051026427,0.4275431362295414,core
Homarine,Particulate,NA,0,0.39990376466953365,1.3067310800453988,0.5313007159180947,non-core
Homarine,Particulate,NA,6,0.1907853779949029,1.0277080962878684,0.4275431362295414,non-core
Homarine,Particulate,NA,12,0.31753432657416475,0.956261667530699,0.4801738596975174,non-core
Homarine,Particulate,NA,24,0.6435199845824411,1.0557257274313057,0.6862144685300255,non-core
Homarine,Particulate,NA,48,0.3933551897049366,0.9203335825279708,0.527074238813723,non-core
Homarine,Particulate,NA,96,0.054381882073505666,1.530251658037097,0.2909263140789584,non-core
L-Arginine,Particulate,NA,0,0.2869661401830914,0.987049691139219,0.45492134683672153,core
L-Arginine,Particulate,NA,6,0.0587368791884412,1.3292467246102437,0.2909263140789584,core
L-Arginine,Particulate,NA,12,0.2066999873058181,1.5274898437690827,0.4342745373630705,core
L-Arginine,Particulate,NA,24,0.2619038059117904,1.9888903014388821,0.4486288605432832,core
L-Arginine,Particulate,NA,48,0.3830670136445028,1.3752017287457836,0.5250477111110318,core
L-Arginine,Particulate,NA,96,0.2056571077405829,1.245693153052451,0.4342745373630705,core
L-Asparagine,Particulate,NA,0,0.2842375259316061,1.1935199620076986,0.45492134683672153,non-core
L-Asparagine,Particulate,NA,6,0.06182705418999953,1.634938265255903,0.2909263140789584,non-core
L-Asparagine,Particulate,NA,12,0.31337482834270236,1.1252222209734442,0.4801738596975174,non-core
L-Asparagine,Particulate,NA,24,0.3311508228174329,1.200199020728072,0.49672623422614937,non-core
L-Asparagine,Particulate,NA,48,0.248928616553796,0.8902812055259297,0.4486288605432832,non-core
L-Asparagine,Particulate,NA,96,0.24515473732073628,1.2261138190651049,0.4486288605432832,non-core
